Item,Calories,Protein,Fat
"Almonds, in shell",2615.0,0.08,0.24
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",3450.0,0.16,0.15
Apples,480.0,0.001,0.003
Apricots,450.0,0.013,0.004
Areca nuts,2448.85496,0.049,0.044
Artichokes,200.0,0.011,0.001
Asparagus,120.0,0.016,0.001
Avocados,1190.0,0.015,0.113
"Bambara beans, dry",3650.0,0.18,0.06
Bananas,600.0,0.007,0.003
Barley,3320.0,0.11,0.018
"Beans, dry",3410.0,0.221,0.017
Blueberries,550.0,0.007,0.004
"Brazil nuts, in shell",3249.0,0.07,0.33
"Broad beans and horse beans, dry",3427.0,0.24,0.02
"Broad beans and horse beans, green",263.0,0.02,0.0
Buckwheat,3300.0,0.11,0.02
Cabbages,190.0,0.01,0.0
Canary seed,3880.0,0.16,0.06
Cantaloupes and other melons,174.0,0.0,0.0
Carrots and turnips,380.00013,0.009,0.002
"Cashew nuts, in shell",2205.0,0.07,0.18
Cashewapple,430.0,0.008,0.006
Cassava leaves,530.0,0.058,0.011
"Cassava, fresh",1076.0,0.01,0.0
Castor oil seeds,0.0,0.0,0.0
Cauliflowers and broccoli,90.00021,0.008,0.001
Cereals n.e.c.,3400.0,0.08,0.01
Cherries,650.0,0.011,0.009
"Chestnuts, in shell",1715.0,0.05,0.01
"Chick peas, dry",3612.0,0.2,0.05
Chicory roots,600.0,0.011,0.002
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2952.0,0.12,0.13
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",296.0,0.01,0.0
"Cinnamon and cinnamon-tree flowers, raw",2610.0,0.04,0.03
"Cloves (whole stems), raw",3230.0,0.06,0.2
Cocoa beans,4140.0,0.04,0.4
"Coconuts, in shell",1390.0,0.01,0.12
"Coffee, green",470.00002,0.067,0.0
"Cow peas, dry",3391.77378,0.22736,0.01469
Cranberries,470.0,0.004,0.002
Cucumbers and gherkins,103.91709,0.005,0.001
Currants,590.0,0.014,0.003
Dates,1560.0,0.015,0.004
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",1116.0,0.02,0.0
Eggplants (aubergines),209.99942,0.009,0.001
Figs,730.0,0.008,0.003
Fonio,3380.0,0.08,0.03
"Ginger, raw",3470.0,0.09,0.06
Gooseberries,440.0,0.009,0.006
Grapes,530.0,0.005,0.004
Green corn (maize),496.0,0.02,0.01
Green garlic,1265.0,0.05,0.0
"Groundnuts, excluding shelled",3599.0,0.15,0.3
"Hazelnuts, in shell",2904.0,0.07,0.28
Hempseed,5530.0,0.15714,0.22
Kapok fruit,0.0,0.0,0.0
Karite nuts (sheanuts),5790.0002,0.068,0.49
Kiwi fruit,520.0,0.009,0.004
