ISO3,crop_kcals_baseline_domestic_supply,crop_kcals_baseline_domestic_supply_year_1,crop_kcals_baseline_domestic_supply_year_2,crop_kcals_baseline_domestic_supply_year_3,crop_kcals_baseline_domestic_supply_year_4,crop_kcals_baseline_domestic_supply_year_5,crop_kcals_baseline_domestic_supply_year_6,crop_kcals_baseline_domestic_supply_year_7,crop_kcals_baseline_domestic_supply_year_8,crop_kcals_baseline_domestic_supply_year_9,crop_kcals_baseline_domestic_supply_year_10
AFG,6251580.275652843,95229.26181807299,25941.884069496176,25703.32409398682,590739.4814094728,2531170.5460445723,4044359.95557367,4566601.354219763,4793259.663548524,5396541.410444193,6106323.8571670875
AGO,7840053.968961466,6719011.150241578,2200612.955822543,264181.7443682842,138650.25877327254,142773.26792537168,501000.40485740296,1318085.8593263833,2292901.9927809145,3621979.268358082,4407988.870464568
ALB,1182187.7901911712,17736.877536610195,44601.51652506318,43399.1636841317,141637.2946752023,304866.78589143883,632900.6263165192,627524.469075332,494962.1607723989,951368.4726141667,576156.4021969353
ARE,3960005.748472046,2003761.5395967648,449410.65864688536,389537.51848144917,910377.2331557055,1131695.3930784005,632689.0194246513,1049065.3449025801,1253750.6137472573,1999146.4431649079,2525109.9331049393
ARG,88883945.41319709,79276303.9824123,18982224.1951436,14109914.834822007,12730132.285297398,17690893.795914985,15885786.32375136,26943495.371642105,35721836.84420679,56637539.74166073,79800354.95554611
ARM,751128.3893369172,2339.415692740949,819.477853213366,530.7995467276105,1378.2685930948753,10221.13743445285,324653.45331952226,334611.178503577,382696.22135983745,484594.9969813973,547379.4635026586
AUS,14906741.274639186,18342112.65138433,14274629.769578552,14317842.848902114,10574480.322771018,8831241.888880922,9708116.497549452,10768417.674747992,8583532.976098612,15335591.780089628,12829692.262091743
AUT,7389332.697213537,65585.34749734687,29783.45391335266,24959.192516019524,29713.309909700045,127001.39351638888,864460.1578301239,2292488.04025016,2883111.185005724,3637813.0566139705,5069773.429522313
AZE,4504745.634939138,7610.365716621446,3984.512512318477,2930.6910186117857,20569.502449084415,289818.3811003645,1764685.05172002,2521631.5128180087,2869524.106297919,3345987.150550874,3904047.2211055313
BDI,2295906.3024049094,2035209.085442473,603772.4362553777,700244.4657126328,576860.19458397,1809.5710405076786,1068016.0823143714,936555.7727278468,507884.43098458846,875205.1427948874,956526.3379830149
BEL,11077604.744031409,466022.0270113685,247514.01955327592,213314.93599784368,252689.4431536726,561693.2719806397,1608108.1878001555,3996498.198078095,4668886.961322306,4764900.762572949,5566554.520026733
BEN,4823956.053621776,3574711.2738590688,1498649.8859784855,1145106.9716083852,1099189.10587919,1480995.0485741862,1642552.34993185,2542856.1608632538,3451400.978363572,3764361.497516326,4580910.244586734
BFA,6776692.964078562,4869809.347400956,1857533.5968791328,1387379.9184104162,1784119.6836378009,1808493.5220406207,3784361.5205103476,5285891.5321967825,6035340.9101447975,6828864.89548574,6733918.277255832
BGD,59307968.53976337,45286852.29484467,2033726.5880153826,6303522.160347394,20175022.60713478,25223326.382580824,13819828.602747219,11875350.055285543,18026540.694706067,48327504.73394588,58398231.55924377
BGR,3936230.3311546016,27461.76054201657,12708.583999048475,10057.74317397771,17653.12130381805,188053.8358587947,1367873.558507308,1654259.56875674,1291159.109006629,2442492.621696934,1901995.8592419396
BHR,146188.4529494071,174299.92364420294,80348.56030758389,78479.54569168117,81593.83531711441,77928.5126218216,72498.33548186604,82911.59712288775,79454.29873445185,123066.94261594483,118717.89681422424
BIH,2498580.3996212194,3104.1498500147936,8379.026615313544,8242.463788350395,59834.07783963461,220161.85615031805,729570.0527510276,1050065.9013996243,953828.1804066184,1428723.9957264871,531759.1830060881
BLR,11046217.208522819,73423.08340491542,22201.19253888634,11673.193623671386,14605.009575228776,20220.150842051786,145189.96892766602,2040837.2602981285,5021694.339167421,5401901.716745005,2052992.7580544783
BOL,6785630.121304268,6427039.130115412,1617703.515556027,404576.82282941503,806926.173989206,2676896.8566109487,1101724.1553636645,1626418.6206986045,2391240.046649376,3107459.2414332908,4454237.498633212
BRA,196508671.24280673,182190400.47022587,60900444.958820015,26259268.941584114,29224575.773568753,29142672.275102593,40755931.818992265,56545766.36331025,87030615.33080074,116113037.7403259,155595812.63047886
BRB,84217.57954153279,932.0891156479511,520.5750325933373,491.2556217751144,1373.3508277165183,2515.631546229973,3702.2554617192563,8596.50330341421,25696.52095858945,40148.819553298854,53757.21059930698
BRN,16863.51007813022,7686.7549069177785,2406.2329288523124,1828.2269272997776,2049.554465306784,2518.460043551118,2831.379119740286,3850.2968819732496,5282.916518129017,7879.4208594339625,10414.592844616502
BTN,152706.73286850375,72658.80301088655,5338.4317342853265,5870.712214650163,9632.169252964824,11386.67752874644,12047.7259917656,11896.38772244123,17080.78297524414,33542.40022138651,49979.189156253255
BWA,486794.42169527744,437902.0435850202,75781.54077355689,24439.013302263502,36503.87503644764,26984.528633296733,79237.8614265787,153654.92050317308,230332.9484658878,330899.56650362967,405505.30775613163
CAF,862436.9605131322,616499.4593704859,84214.75361624417,56394.963176531506,10672.46349093659,15551.374532415752,98540.69785559995,243783.73204654452,390588.04539246205,511036.4358152752,755305.7622310477
CAN,45383551.330178894,337811.4127164958,139568.92168469162,120497.01126192173,132022.5048416033,226511.0563368212,729182.3353022143,8283003.240899757,9131107.402682375,11645219.685213098,23788869.280349504
CHE,2403065.37705126,62145.55564954993,26999.581628738695,22738.787754551413,33590.334061912064,72242.9958542239,249472.44935103797,865172.7848761575,1259022.5491739458,1370720.8354017795,1715490.9860693542
CHL,7842163.16519271,5076064.5083385855,2100970.3804075276,2080702.6629236948,1809296.8719943743,2094777.1095307418,2652387.6456983467,3355909.9461970367,3725554.9843148733,5751656.23070445,8006268.967594752
CHN,795729666.9516047,82454015.67887379,25487322.156868085,14854304.784729104,20046325.48508813,39437742.05735959,66143726.4306883,100558888.88372637,169368438.53746846,333583380.6202569,536262409.54487395
CIV,9439251.014999915,6049906.83345765,742465.8573839064,607949.2239582017,577813.159975571,1545150.3518212119,1497356.8929848443,2977496.4851221098,4357783.623124285,5184334.988739323,7439666.9857189385
CMR,9653999.74278856,5101532.9486607015,824674.0877095247,597070.2017709165,899274.9023674227,1635402.6391370976,1862887.9887665282,3287009.262554711,5206097.421912627,6424395.778876732,9339188.232424902
COD,18567072.200566545,16651405.909753438,3914892.897588764,636721.4063154319,1107111.3892541553,149328.156858389,2292221.0821770295,3706334.498505931,6551660.566350546,9488799.576882852,12713021.799231648
COG,963792.8452279737,699072.4229890389,149470.31759681134,60656.131805796205,57251.013344519786,39192.29106713786,155239.4320772196,245293.64606653474,433246.252659217,539530.2804083449,730063.7506637275
COL,19164423.578777086,9435927.315506529,1990002.3934223214,929322.9176964541,1128530.3822758961,1518831.7077110137,2751458.185522481,4262508.828212471,7832639.692542794,11332868.116153155,15747704.480622852
CPV,61632.53915326096,28486.056541599526,7200.757739691769,5444.516562997548,5320.511601743143,7599.5762072818,7880.116653419547,13568.964652272458,18606.61064244261,27805.368550500192,37685.17936538375
CRI,2697503.1858688565,2554453.4121777895,2274401.2763449214,2430585.7292857957,1425624.189817926,2115641.28206852,1772268.7690380262,4988061.348368421,3932954.687645294,3167072.6518003466,1930533.0688379423
CUB,3477522.676875774,2122459.473925434,825103.4975531378,441047.6584896162,558375.0731796492,626345.5858128191,1011997.6017275992,1923765.4018581125,2571154.0923473006,3196301.8005386046,3376460.7540988126
CYP,577566.4683399568,39897.81395895296,89534.58211921676,88479.39823092631,206613.68144548015,123107.2909455306,205189.5272052503,249673.73417074117,229926.85590812948,382597.8759850058,290154.93503595574
CZE,7078531.339550233,43640.709464359876,25529.12714321349,23651.40781236218,23321.673526541934,68743.48231555622,437372.7697070568,2489658.192770442,3980930.1304382067,3677644.988364038,3870810.0942855617
DEU,59093761.63639966,2647047.7153619914,1578637.2332224145,1440603.4153913283,1248791.2939059304,1559604.6551527553,3541998.6208932768,18227988.309114013,26779372.607138883,25469595.315551728,29570633.11494541
DJI,169250.4240881753,20254.303588823128,7026.916143109751,6877.1206763704795,11985.276311195006,21577.87415282665,25920.519423836384,45477.443288968614,52255.55074075015,85670.70338536476,97294.19266637039
DNK,9132379.052950347,155708.577404094,65819.62376537715,51016.13495340472,56310.93249503845,76467.67475246098,129226.22742257497,550442.5474419366,6288248.336357818,4661028.19187818,1156836.8609405025
DOM,4084559.623914291,3397759.684987797,1838234.6345729863,1022832.914363282,567635.2761448312,1092508.2209606485,1572119.4246824337,2315873.6790744495,3529636.0563430362,3074853.4286430543,3738701.0029485496
DZA,18602554.44319157,6480892.109100158,8414025.894973662,8034937.397003573,11705149.25091156,17726617.52135769,25467737.67460931,20652115.42797697,15339471.619575493,12164405.874309242,12241963.691086916
ECU,5417304.876642834,4197054.656006726,1078201.4643087653,166679.27782262137,81268.8014675679,671136.9861807718,644543.4397145857,1377089.498539221,2186452.6161791156,3205541.512314068,4088069.3364756075
EGY,53046189.20811513,14983709.203854911,9169727.958750335,8455049.323501779,10291563.98801369,12015866.875707075,20757193.618245445,28556513.84385641,33482017.79621943,40849318.05730178,43322887.18445465
ERI,397151.0349439671,294870.30923109717,150363.58452467562,139197.9494255102,131960.38488393524,181585.5183491625,174376.95159517805,259758.87736905753,377480.55834508507,372834.18979925715,406355.7439773658
ESP,46242593.929298736,6170862.633507562,6307994.899351718,5414982.341977284,13401872.368881343,23596366.25884385,39795230.47698885,44468907.16164425,45996592.32174814,31143083.719812356,35824580.78770643
EST,809201.489984521,45235.382162271715,9889.311801458123,6979.568329651827,6852.675736947301,14807.165094243917,19467.90208836717,37892.45293765764,130610.9346803099,328229.1478991817,543764.2646736423
ETH,32039105.40817052,12080207.561637579,4473226.112918429,3787457.9775077854,4383887.006878994,7411220.929101957,4889777.404269165,9047661.091794837,12017054.560287718,15943765.65869655,26827158.170745987
