ISO3,crop_kcals_baseline_domestic_supply,crop_kcals_baseline_domestic_supply_month_1,crop_kcals_baseline_domestic_supply_month_2,crop_kcals_baseline_domestic_supply_month_3,crop_kcals_baseline_domestic_supply_month_4,crop_kcals_baseline_domestic_supply_month_5,crop_kcals_baseline_domestic_supply_month_6,crop_kcals_baseline_domestic_supply_month_7,crop_kcals_baseline_domestic_supply_month_8,crop_kcals_baseline_domestic_supply_month_9,crop_kcals_baseline_domestic_supply_month_10,crop_kcals_baseline_domestic_supply_month_11,crop_kcals_baseline_domestic_supply_month_12,crop_kcals_baseline_domestic_supply_month_13,crop_kcals_baseline_domestic_supply_month_14,crop_kcals_baseline_domestic_supply_month_15,crop_kcals_baseline_domestic_supply_month_16,crop_kcals_baseline_domestic_supply_month_17,crop_kcals_baseline_domestic_supply_month_18,crop_kcals_baseline_domestic_supply_month_19,crop_kcals_baseline_domestic_supply_month_20,crop_kcals_baseline_domestic_supply_month_21,crop_kcals_baseline_domestic_supply_month_22,crop_kcals_baseline_domestic_supply_month_23,crop_kcals_baseline_domestic_supply_month_24,crop_kcals_baseline_domestic_supply_month_25,crop_kcals_baseline_domestic_supply_month_26,crop_kcals_baseline_domestic_supply_month_27,crop_kcals_baseline_domestic_supply_month_28,crop_kcals_baseline_domestic_supply_month_29,crop_kcals_baseline_domestic_supply_month_30,crop_kcals_baseline_domestic_supply_month_31,crop_kcals_baseline_domestic_supply_month_32,crop_kcals_baseline_domestic_supply_month_33,crop_kcals_baseline_domestic_supply_month_34,crop_kcals_baseline_domestic_supply_month_35,crop_kcals_baseline_domestic_supply_month_36,crop_kcals_baseline_domestic_supply_month_37,crop_kcals_baseline_domestic_supply_month_38,crop_kcals_baseline_domestic_supply_month_39,crop_kcals_baseline_domestic_supply_month_40,crop_kcals_baseline_domestic_supply_month_41,crop_kcals_baseline_domestic_supply_month_42,crop_kcals_baseline_domestic_supply_month_43,crop_kcals_baseline_domestic_supply_month_44,crop_kcals_baseline_domestic_supply_month_45,crop_kcals_baseline_domestic_supply_month_46,crop_kcals_baseline_domestic_supply_month_47,crop_kcals_baseline_domestic_supply_month_48,crop_kcals_baseline_domestic_supply_month_49,crop_kcals_baseline_domestic_supply_month_50,crop_kcals_baseline_domestic_supply_month_51,crop_kcals_baseline_domestic_supply_month_52,crop_kcals_baseline_domestic_supply_month_53,crop_kcals_baseline_domestic_supply_month_54,crop_kcals_baseline_domestic_supply_month_55,crop_kcals_baseline_domestic_supply_month_56,crop_kcals_baseline_domestic_supply_month_57,crop_kcals_baseline_domestic_supply_month_58,crop_kcals_baseline_domestic_supply_month_59,crop_kcals_baseline_domestic_supply_month_60,crop_kcals_baseline_domestic_supply_month_61,crop_kcals_baseline_domestic_supply_month_62,crop_kcals_baseline_domestic_supply_month_63,crop_kcals_baseline_domestic_supply_month_64,crop_kcals_baseline_domestic_supply_month_65,crop_kcals_baseline_domestic_supply_month_66,crop_kcals_baseline_domestic_supply_month_67,crop_kcals_baseline_domestic_supply_month_68,crop_kcals_baseline_domestic_supply_month_69,crop_kcals_baseline_domestic_supply_month_70,crop_kcals_baseline_domestic_supply_month_71,crop_kcals_baseline_domestic_supply_month_72,crop_kcals_baseline_domestic_supply_month_73,crop_kcals_baseline_domestic_supply_month_74,crop_kcals_baseline_domestic_supply_month_75,crop_kcals_baseline_domestic_supply_month_76,crop_kcals_baseline_domestic_supply_month_77,crop_kcals_baseline_domestic_supply_month_78,crop_kcals_baseline_domestic_supply_month_79,crop_kcals_baseline_domestic_supply_month_80,crop_kcals_baseline_domestic_supply_month_81,crop_kcals_baseline_domestic_supply_month_82,crop_kcals_baseline_domestic_supply_month_83,crop_kcals_baseline_domestic_supply_month_84,crop_kcals_baseline_domestic_supply_month_85,crop_kcals_baseline_domestic_supply_month_86,crop_kcals_baseline_domestic_supply_month_87,crop_kcals_baseline_domestic_supply_month_88,crop_kcals_baseline_domestic_supply_month_89,crop_kcals_baseline_domestic_supply_month_90,crop_kcals_baseline_domestic_supply_month_91,crop_kcals_baseline_domestic_supply_month_92,crop_kcals_baseline_domestic_supply_month_93,crop_kcals_baseline_domestic_supply_month_94,crop_kcals_baseline_domestic_supply_month_95,crop_kcals_baseline_domestic_supply_month_96,crop_kcals_baseline_domestic_supply_month_97,crop_kcals_baseline_domestic_supply_month_98,crop_kcals_baseline_domestic_supply_month_99,crop_kcals_baseline_domestic_supply_month_100,crop_kcals_baseline_domestic_supply_month_101,crop_kcals_baseline_domestic_supply_month_102,crop_kcals_baseline_domestic_supply_month_103,crop_kcals_baseline_domestic_supply_month_104,crop_kcals_baseline_domestic_supply_month_105,crop_kcals_baseline_domestic_supply_month_106,crop_kcals_baseline_domestic_supply_month_107,crop_kcals_baseline_domestic_supply_month_108,crop_kcals_baseline_domestic_supply_month_109,crop_kcals_baseline_domestic_supply_month_110,crop_kcals_baseline_domestic_supply_month_111,crop_kcals_baseline_domestic_supply_month_112,crop_kcals_baseline_domestic_supply_month_113,crop_kcals_baseline_domestic_supply_month_114,crop_kcals_baseline_domestic_supply_month_115,crop_kcals_baseline_domestic_supply_month_116
AFG,520965.0229710702,9.633199341811487,9.633199341811487,1983.9429545431876,1983.9429545431876,1974.3097552569266,1974.3097552569266,0.0,0.0,0.0,0.0,0.0,0.0,2.624228475287758,2.624228475287758,540.4559181145037,540.4559181145037,537.8316896543487,537.8316896543487,0.0,0.0,0.0,0.0,0.0,0.0,2.600096231110022,2.600096231110022,535.4859186247254,535.4859186247254,532.885822408609,532.885822408609,0.0,0.0,0.0,0.0,0.0,0.0,59.758010036530436,59.758010036530436,12307.072529364015,12307.072529364015,12247.314519672083,12247.314519672083,0.0,0.0,0.0,0.0,0.0,0.0,256.04808829402936,256.04808829402936,52732.719709261924,52732.719709261924,52476.67162244441,52476.67162244441,0.0,0.0,0.0,0.0,0.0,0.0,409.1192656361324,409.1192656361324,84257.49907445147,84257.49907445147,83848.37981117454,83848.37981117454,0.0,0.0,0.0,0.0,0.0,0.0,461.9481482889797,461.9481482889797,95137.52821291173,95137.52821291173,94675.5800672866,94675.5800672866,0.0,0.0,0.0,0.0,0.0,0.0,484.87644400981804,484.87644400981804,99859.57632392757,99859.57632392757,99374.69988271382,99374.69988271382,0.0,0.0,0.0,0.0,0.0,0.0,545.9032042321609,545.9032042321609,112427.94605092068,112427.94605092068,111882.0428498365,111882.0428498365,0.0,0.0,0.0,0.0,0.0,0.0,617.7033596472342,617.7033596472342,127215.08035764768,127215.08035764768,126597.37700156246,126597.37700156246,0.0,0.0
AGO,653337.8307467889,139788.32926745983,139788.32926745983,139979.3989633662,139979.3989633662,191.06968314024985,191.06968314024985,0.0,0.0,0.0,0.0,0.0,0.0,45783.52403057098,45783.52403057098,45846.10324630298,45846.10324630298,62.579211550828305,62.579211550828305,0.0,0.0,0.0,0.0,0.0,0.0,5496.273758509515,5496.273758509515,5503.786341005921,5503.786341005921,7.512581994460848,7.512581994460848,0.0,0.0,0.0,0.0,0.0,0.0,2884.6042361039804,2884.6042361039804,2888.5470577765113,2888.5470577765113,3.942821409095345,3.942821409095345,0.0,0.0,0.0,0.0,0.0,0.0,2970.383013373261,2970.383013373261,2974.4430817785765,2974.4430817785765,4.060068134046472,4.060068134046472,0.0,0.0,0.0,0.0,0.0,0.0,10423.261398341228,10423.261398341228,10437.508434529229,10437.508434529229,14.24703523610005,14.24703523610005,0.0,0.0,0.0,0.0,0.0,0.0,27422.639431052958,27422.639431052958,27460.122069299647,27460.122069299647,37.4826357423266,37.4826357423266,0.0,0.0,0.0,0.0,0.0,0.0,47703.5878610425,47703.5878610425,47768.791516269055,47768.791516269055,65.20365087004582,65.20365087004582,0.0,0.0,0.0,0.0,0.0,0.0,75354.90256582605,75354.90256582605,75457.90142412671,75457.90142412671,102.99885141891014,102.99885141891014,0.0,0.0,0.0,0.0,0.0,0.0,91707.75071710438,91707.75071710438,91833.10146801184,91833.10146801184,125.3507425322744,125.3507425322744,0.0,0.0
ALB,98515.6491825976,2.162471045719094,2.162471045719094,142.88368425240702,142.88368425240702,140.7212132037318,140.7212132037318,0.0,0.0,569.9000141896526,569.9000141896526,569.9000141896526,569.9000141896526,5.437794103360759,5.437794103360759,359.29824689783555,359.29824689783555,353.86045278704114,353.86045278704114,0.0,0.0,554.5368392464245,554.5368392464245,554.5368392464245,554.5368392464245,5.291203859396695,5.291203859396695,349.6124043176498,349.6124043176498,344.32120045101993,344.32120045101993,0.0,0.0,1809.7836695714786,1809.7836695714786,1809.7836695714786,1809.7836695714786,17.26834659014309,17.26834659014309,1140.9933033006937,1140.9933033006937,1123.7249566869446,1123.7249566869446,0.0,0.0,3895.463633122251,3895.463633122251,3895.463633122251,3895.463633122251,37.169202748956636,37.169202748956636,2455.9277406322803,2455.9277406322803,2418.7585378325125,2418.7585378325125,0.0,0.0,8086.946454292415,8086.946454292415,8086.946454292415,8086.946454292415,77.16292094828998,77.16292094828998,5098.483262744738,5098.483262744738,5021.320341690964,5021.320341690964,0.0,0.0,8018.252106504561,8018.252106504561,8018.252106504561,8018.252106504561,76.50746260466079,76.50746260466079,5055.174334656604,5055.174334656604,4978.6668719473555,4978.6668719473555,0.0,0.0,6324.424917009738,6324.424917009738,6324.424917009738,6324.424917009738,60.34553371570672,60.34553371570672,3987.2867673984456,3987.2867673984456,3926.941233600245,3926.941233600245,0.0,0.0,12156.19889825335,12156.19889825335,12156.19889825335,12156.19889825335,115.99035803182971,115.99035803182971,7663.977617713018,7663.977617713018,7547.987259522626,7547.987259522626,0.0,0.0,7361.891867577643,7361.891867577643,7361.891867577643,7361.891867577643,70.24469413992882,70.24469413992882,4641.366513445695,4641.366513445695,4571.121819209739,4571.121819209739,0.0,0.0
ARE,330000.4790393372,8872.482907215202,8872.482907215202,16170.100096525355,16170.100096525355,7297.617190979954,24998.220588210952,17700.6033989008,17700.6033989008,5736.035350957324,1766.0820029663466,1766.0820029663466,1766.0820029663466,1989.951552801655,1989.951552801655,3626.68670456063,3626.68670456063,1636.735152133484,5606.688499375444,3969.9533476164693,3969.9533476164693,4971.846869990274,1530.7941359058952,1530.7941359058952,1530.7941359058952,1724.838463134291,1724.838463134291,3143.5180986978658,3143.5180986978658,1418.6796358881893,4859.732369323339,3441.052733759765,3441.052733759765,11619.564181700647,3577.5761354380425,3577.5761354380425,3577.5761354380425,4031.0717022332597,4031.0717022332597,7346.628176468535,7346.628176468535,3315.556474993922,11357.544519739233,8041.988045503958,8041.988045503958,14444.349853112317,4447.306329078629,4447.306329078629,4447.306329078629,5011.049385289094,5011.049385289094,9132.637503630767,9132.637503630767,4121.588119284753,14118.631641432285,9997.043523090611,9997.043523090611,8075.301534923834,2486.324409938527,2486.324409938527,2486.324409938527,2801.4922931186843,2801.4922931186843,5105.719703616975,5105.719703616975,2304.227411025531,7893.204534956358,5588.977124458068,5588.977124458068,13389.704467498035,4122.588972737018,4122.588972737018,4122.588972737018,4645.1706738882,4645.1706738882,8465.823552179932,8465.823552179932,3820.652879165953,13087.768372178529,9267.115493886799,9267.115493886799,16002.196884674511,4926.955675269871,4926.955675269871,4926.955675269871,5551.499352872932,5551.499352872932,10117.60756943814,10117.60756943814,4566.10821761,15641.349424925056,11075.24120835985,11075.24120835985,25516.027377411603,7856.192296813914,7856.192296813914,7856.192296813914,8852.047659109263,8852.047659109263,16132.856856856599,16132.856856856599,7280.80919941329,24940.64427667907,17659.835078931737,17659.835078931737,32229.141794173596,9923.109571533738,9923.109571533738,9923.109571533738,11180.968532224379,11180.968532224379,20377.3151476169,20377.3151476169,9196.346617496782,31502.378835928124,22306.032220535606,22306.032220535606
ARG,7406995.451099757,529337.7429360828,529337.7429360828,40515.20243643192,28969.968429283173,0.0,874683.2990514623,874683.2990514623,1122251.9232981096,268716.3318840132,59278.78685751587,176324.34251397348,119809.99112860941,126746.67216565995,126746.67216565995,9701.11644118272,6936.681051287225,0.0,209437.54499486025,209437.54499486025,268716.3318840132,199742.90255086246,44063.2575757431,131065.85564481214,89057.4652267545,94213.65649617111,94213.65649617111,7211.0583765415395,5156.191279999046,0.0,155679.64495160282,155679.64495160282,199742.90255086246,180210.41248572653,39754.392880955915,118249.1673391591,80348.69994622184,85000.67678069412,85000.67678069412,6505.9022768746345,4651.976844019893,0.0,140456.01958355372,140456.01958355372,180210.41248572653,250435.98893980708,55246.145650059894,164329.2790655845,111659.50875704065,118124.29846034604,118124.29846034604,9041.164981429087,6464.789716573562,0.0,195189.84326026234,195189.84326026234,250435.98893980708,224882.51040169504,49609.051703783945,147561.7820154895,100266.2227014771,106071.37132988678,106071.37132988678,8118.640961257178,5805.1486403240315,0.0,175273.45867143475,175273.45867143475,224882.51040169504,381417.7500997944,84140.7046356906,250275.945410471,170059.0988845261,179905.0701202965,179905.0701202965,13769.829248968595,9845.971255978044,0.0,297277.04541919794,297277.04541919794,381417.7500997944,505685.78614671796,111554.21675972216,331817.24808400654,225465.30435021402,238519.14807782197,238519.14807782197,18256.11662553433,13053.843754399328,0.0,394131.5693274594,394131.5693274594,505685.78614671796,801772.8465248988,176870.98266065927,526101.5176036289,357478.8214613277,378175.898045835,378175.898045835,28945.362899914267,20697.076626985494,0.0,624901.8637698435,624901.8637698435,801772.8465248988,1129670.4983698758,249205.16078269522,741259.0313583076,503675.4239648013,532836.8964708346,532836.8964708346,40783.02560927101,29161.472565883567,0.0,880465.3374541799,880465.3374541799,1129670.4983698758
ARM,62594.0324447431,0.3068049940642946,0.3068049940642946,30.69360255170503,30.69360255170503,30.386797541264826,30.386797541264826,0.0,0.0,6.320741675120762,6.320741675120762,6.320741675120762,6.320741675120762,0.10747123680117512,0.10747123680117512,10.75171360288929,10.75171360288929,10.644242360351768,10.644242360351768,0.0,0.0,4.094127502019107,4.094127502019107,4.094127502019107,4.094127502019107,0.06961223363954239,0.06961223363954239,6.964196389908778,6.964196389908778,6.894584152553638,6.894584152553638,0.0,0.0,10.630768972857881,10.630768972857881,10.630768972857881,10.630768972857881,0.18075440326214032,0.18075440326214032,18.083160054546244,18.083160054546244,17.90240564163622,17.90240564163622,0.0,0.0,78.83699247728407,78.83699247728407,78.83699247728407,78.83699247728407,1.3404612184307916,1.3404612184307916,134.10337077455412,134.10337077455412,132.76290948457535,132.76290948457535,0.0,0.0,2504.0952654449447,2504.0952654449447,2504.0952654449447,2504.0952654449447,42.57699951646789,42.57699951646789,4259.518346460614,4259.518346460614,4216.941344671572,4216.941344671572,0.0,0.0,2580.9005242002013,2580.9005242002013,2580.9005242002013,2580.9005242002013,43.88291527375186,43.88291527375186,4390.165695739691,4390.165695739691,4346.282778123661,4346.282778123661,0.0,0.0,2951.786855221522,2951.786855221522,2951.786855221522,2951.786855221522,50.189075967583705,50.189075967583705,5021.051091050747,5021.051091050747,4970.86201240429,4970.86201240429,0.0,0.0,3737.745664467432,3737.745664467432,3737.745664467432,3737.745664467432,63.552692081957346,63.552692081957346,6357.983440926994,6357.983440926994,6294.430745452872,6294.430745452872,0.0,0.0,4222.01060528925,4222.01060528925,4222.01060528925,4222.01060528925,71.78662328886342,71.78662328886342,7181.728219507403,7181.728219507403,7109.941592386883,7109.941592386883,0.0,0.0
AUS,1242228.4395532655,8367.129858558154,8367.129858558154,54605.10404612418,54159.11887858604,54159.11887858604,274196.07908644364,319601.0982278364,319601.0982278364,248727.47419358755,77485.14227105475,6164.579288067066,6511.664345049669,6511.664345049669,6511.664345049669,42496.06676191195,42148.981708498,42148.981708498,213391.3136191353,248727.47419358755,248727.47419358755,249480.43803543676,77719.71028811761,6183.241099831835,6531.376875070638,6531.376875070638,6531.376875070638,42624.71359433877,42276.57782267943,42276.57782267943,214037.30555806705,249480.43803543676,249480.43803543676,184254.43069619325,57400.09551761373,4566.648903129596,4823.765491414935,4823.765491414935,4823.765491414935,31480.59382434469,31223.477238702973,31223.477238702973,158077.81240847043,184254.43069619325,184254.43069619325,153879.47179514213,47937.49787110869,3813.821564194091,4028.5516233065014,4028.5516233065014,4028.5516233065014,26290.912686245963,26076.182629341365,26076.182629341365,132018.15654601544,153879.47179514213,153879.47179514213,169158.5235197217,52697.323863328624,4192.504804186068,4428.555911790043,4428.555911790043,4428.555911790043,28901.398738305827,28665.34763312888,28665.34763312888,145126.54728143188,169158.5235197217,169158.5235197217,187633.6810506807,58452.820775794,4650.401841207731,4912.233981346152,4912.233981346152,4912.233981346152,32057.952031897363,31796.119894451047,31796.119894451047,160976.98016036404,187633.6810506807,187633.6810506807,149563.2819390039,46592.8913448049,3706.847074637678,3915.554136061464,3915.554136061464,3915.554136061464,25553.474681545373,25344.76762226747,25344.76762226747,128315.15820931354,149563.2819390039,149563.2819390039,267214.14637699944,83244.2263002486,6622.761709677829,6995.643867238086,6995.643867238086,6995.643867238086,45654.58737914139,45281.70522541503,45281.70522541503,229251.6252893862,267214.14637699944,267214.14637699944,223550.24281132786,69641.77329072538,5540.574884801383,5852.52654601696,5852.52654601696,5852.52654601696,38194.43780367362,37882.48614566547,37882.48614566547,191790.95565557654,223550.24281132786,223550.24281132786
AUT,615777.7247677947,0.0,0.0,920.3420068139374,920.3420068139374,930.314221189334,1366.3614061947264,446.01939949009807,446.01939949009807,198.01665673016714,0.0,0.0,0.0,0.0,0.0,417.9434094722797,417.9434094722797,422.471966514319,620.488623194847,202.54521377220638,202.54521377220638,165.9423339913919,0.0,0.0,0.0,0.0,0.0,350.2458125967551,350.2458125967551,354.0408434672802,519.9831774170734,169.73736486191694,169.73736486191694,197.55030111092407,0.0,0.0,0.0,0.0,0.0,416.95909703739903,416.95909703739903,421.4769887240157,619.0272897854176,202.06819279754072,202.06819279754072,844.3745784941688,0.0,0.0,0.0,0.0,0.0,1782.177297783903,1782.177297783903,1801.4877866422687,2645.8623649247684,863.6850673525344,863.6850673525344,5747.402931438071,0.0,0.0,0.0,0.0,0.0,12130.743021530132,12130.743021530132,12262.183691463611,18009.586621460916,5878.84360137155,5878.84360137155,15241.711678064044,0.0,0.0,0.0,0.0,0.0,32169.88434262902,32169.88434262902,32518.455830968433,47760.16750521166,15590.283166403457,15590.283166403457,19168.496692730238,0.0,0.0,0.0,0.0,0.0,40457.94426846968,40457.94426846968,40896.31966636087,60064.81635428592,19606.872090621426,19606.872090621426,24186.166633853674,0.0,0.0,0.0,0.0,0.0,51048.478001484764,51048.478001484764,51601.6053850004,75787.77201279106,24739.29401736932,24739.29401736932,33706.62072350746,0.0,0.0,0.0,0.0,0.0,71142.80293181787,71142.80293181787,71913.65906665701,105620.27978171485,34477.4768583466,34477.4768583466
AZE,375395.4695782615,2.1038943339862644,2.1038943339862644,158.24374289756446,158.24374289756446,156.1398486067036,156.1398486067036,0.0,0.0,0.15997118923192993,0.15997118923192993,0.15997118923192993,0.15997118923192993,1.1015230555944653,1.1015230555944653,82.85070613549559,82.85070613549559,81.74918310248002,81.74918310248002,0.0,0.0,0.11766210447808748,0.11766210447808748,0.11766210447808748,0.11766210447808748,0.8101928945747234,0.8101928945747234,60.938400772057555,60.938400772057555,60.128207894090075,60.128207894090075,0.0,0.0,0.8258294480231063,0.8258294480231063,0.8258294480231063,0.8258294480231063,5.686462552125195,5.686462552125195,427.70547149589044,427.70547149589044,422.01900906032574,422.01900906032574,0.0,0.0,11.6356997104574,11.6356997104574,11.6356997104574,11.6356997104574,80.12062397348501,80.12062397348501,6026.247238771914,6026.247238771914,5946.126616440733,5946.126616440733,0.0,0.0,70.84900987779797,70.84900987779797,70.84900987779797,70.84900987779797,487.84920722998214,487.84920722998214,36693.42289420603,36693.42289420603,36205.57369697593,36205.57369697593,0.0,0.0,101.23908273925508,101.23908273925508,101.23908273925508,101.23908273925508,697.1079248704275,697.1079248704275,52432.75075799069,52432.75075799069,51735.6428474095,51735.6428474095,0.0,0.0,115.20636022474572,115.20636022474572,115.20636022474572,115.20636022474572,793.2832314867177,793.2832314867177,59666.54584333931,59666.54584333931,58873.26262811322,58873.26262811322,0.0,0.0,134.33551581870327,134.33551581870327,134.33551581870327,134.33551581870327,925.0019867323799,925.0019867323799,69573.73010785945,69573.73010785945,68648.72814008765,68648.72814008765,0.0,0.0,156.74064891176954,156.74064891176954,156.74064891176954,156.74064891176954,1079.278333518136,1079.278333518136,81177.5764425205,81177.5764425205,80098.29813112528,80098.29813112528,0.0,0.0
BDI,191325.52520040912,3821.5129748752383,3821.5129748752383,3821.5129748752383,3821.5129748752383,0.0,0.0,0.0,0.0,11444.88865679559,11444.88865679559,11444.88865679559,11444.88865679559,1133.7037631788703,1133.7037631788703,1133.7037631788703,1133.7037631788703,0.0,0.0,0.0,0.0,13273.577032305304,13273.577032305304,13273.577032305304,13273.577032305304,1314.849334373731,1314.849334373731,1314.849334373731,1314.849334373731,0.0,0.0,0.0,0.0,10934.750083156303,10934.750083156303,10934.750083156303,10934.750083156303,1083.1706354202042,1083.1706354202042,1083.1706354202042,1083.1706354202042,0.0,0.0,0.0,0.0,34.30156435033458,34.30156435033458,34.30156435033458,34.30156435033458,3.3978323208768155,3.3978323208768155,3.3978323208768155,3.3978323208768155,0.0,0.0,0.0,0.0,20244.920787647407,20244.920787647407,20244.920787647407,20244.920787647407,2005.4142570086108,2005.4142570086108,2005.4142570086108,2005.4142570086108,0.0,0.0,0.0,0.0,17753.007418204896,17753.007418204896,17753.007418204896,17753.007418204896,1758.57117717006,1758.57117717006,1758.57117717006,1758.57117717006,0.0,0.0,0.0,0.0,9627.270829369245,9627.270829369245,9627.270829369245,9627.270829369245,953.6548144500671,953.6548144500671,953.6548144500671,953.6548144500671,0.0,0.0,0.0,0.0,16590.067399011965,16590.067399011965,16590.067399011965,16590.067399011965,1643.3730729641716,1643.3730729641716,1643.3730729641716,1643.3730729641716,0.0,0.0,0.0,0.0,18131.562121987357,18131.562121987357,18131.562121987357,18131.562121987357,1796.0699161370324,1796.0699161370324,1796.0699161370324,1796.0699161370324,0.0,0.0,0.0,0.0
