,Y1994
Afghanistan,500000.0
Albania,193261.0
Algeria,185.0
Angola,201000.0
Antigua and Barbuda,49.43
not found,369793.18
Azerbaijan,14303.0
Argentina,10360000.0
Australia,204095.0
Austria,1420645.0
Bahamas,312.0
Bahrain,0.0
Bangladesh,2785.0
Armenia,4900.0
Barbados,1300.0
"Micronesia, Fed. Sts.",46.74
not found,58528.0
Bhutan,60000.0
Bolivia,493533.0
Bosnia and Herzegovina,460000.0
Botswana,10800.0
Brazil,32487625.0
Belize,23263.0
Brunei Darussalam,0.0
Bulgaria,1383600.0
Myanmar,279900.0
Burundi,122758.0
Belarus,1000.0
Cambodia,45000.0
Cameroon,524000.0
Canada,7042900.0
Cabo Verde,8163.0
Central African Republic,62672.0
Sri Lanka,31596.0
Chad,158896.0
Chile,937250.0
China,99277000.0
Taiwan,397118.0
Colombia,1161090.0
Comoros,3650.0
Congo Republic,5303.0
DR Congo,1184430.0
Costa Rica,34516.0
Croatia,1686922.0
Cuba,98500.0
Cyprus,0.0
Czechia,91396.0
Benin,491546.0
Denmark,0.0
Dominica,174.37
Dominican Republic,28503.86
Ecuador,581401.0
El Salvador,480654.0
Ethiopia,1396230.0
Eritrea,18530.0
Estonia,0.0
Fiji,1531.0
Finland,0.0
France,12816279.4
French Guiana,35.0
French Polynesia,0.0
Djibouti,9.94
Gabon,29706.0
Georgia,342800.0
Gambia,13315.0
Germany,2445993.0
Ghana,939908.0
Greece,2070005.44
Grenada,347.0
Guadeloupe,0.0
Guatemala,1187692.0
Guinea,171590.0
Guyana,3300.0
Haiti,230000.0
Honduras,583329.0
Hong Kong,0.0
Hungary,4761201.0
Iceland,0.0
India,8884400.0
Indonesia,6868880.0
Iran,512101.0
Iraq,128000.0
Ireland,0.0
Israel,65792.0
Italy,7483400.0
Cote d'Ivoire,536000.0
Jamaica,3828.0
Japan,420.0
Kazakhstan,233500.0
Jordan,0.0
Kenya,3060000.0
North Korea,3547000.0
South Korea,88578.0
Kuwait,976.0
Kyrgyz Republic,129300.0
Laos,55788.0
Lebanon,4086.0
Lesotho,149063.0
Latvia,0.0
Liberia,0.0
Libya,904.92
Lithuania,8541.65
Macau,0.0
Madagascar,155000.0
Malawi,1040000.0
Malaysia,40000.0
Maldives,4.0
Mali,322493.0
Malta,0.0
Martinique,0.0
Mauritania,6294.0
Mauritius,880.0
Mexico,18235826.0
Mongolia,0.0
Moldova,629300.0
Morocco,202610.0
Mozambique,489486.0
Oman,25666.3
Namibia,40834.0
Nauru,0.0
Nepal,1273000.0
Netherlands,83100.0
New Caledonia,136.0
Vanuatu,700.0
New Zealand,142768.0
Nicaragua,241310.0
Niger,2000.0
Nigeria,6902000.0
Norway,0.0
"Micronesia, Fed. Sts.",46.74
Pakistan,1318100.0
Panama,105897.0
Papua New Guinea,4500.0
Paraguay,461665.0
Peru,725069.0
Philippines,4519246.0
Poland,189024.0
Portugal,711432.0
Guinea-Bissau,13842.0
Timor-Leste,116739.0
Puerto Rico,550.0
Qatar,335.0
Reunion,16700.0
Romania,9343224.0
Russia,891950.0
Rwanda,67000.0
St. Kitts and Nevis,0.0
St. Lucia,0.0
St. Vincent and the Grenadines,1429.92
Sao Tome and Principe,4300.0
Saudi Arabia,5765.0
Senegal,108233.0
Seychelles,0.0
Sierra Leone,8600.0
Singapore,0.0
Slovakia,520856.0
Vietnam,1143900.0
Slovenia,311949.0
Somalia,150360.0
South Africa,13275000.0
Zimbabwe,2109283.0
Spain,2343600.0
Sudan,48000.0
Suriname,336.0
Eswatini,83657.0
Sweden,0.0
Switzerland,249434.0
Syria,203200.0
Tajikistan,18000.0
Thailand,3965339.0
Togo,347645.0
Tonga,0.0
Trinidad and Tobago,4798.6
United Arab Emirates,3900.0
Tunisia,0.0
Türkiye,1850000.0
Turkmenistan,150000.0
Uganda,850000.0
Ukraine,1539400.0
North Macedonia,133211.0
Egypt,5112000.0
United Kingdom,0.0
Tanzania,1485800.0
United States,255294970.0
Burkina Faso,350315.0
Uruguay,89700.0
Uzbekistan,275900.0
Venezuela,1094495.0
Yemen,69102.0
not found,4724000.0
Zambia,1020749.0
