,Y2020
Afghanistan,31197528.41
Albania,8582452.62
Algeria,61846526.29
Angola,48243654.01
Antigua and Barbuda,29657.739999999998
Caribbean,88818818.92999999
Azerbaijan,24070878.01
Argentina,411167385.59
Australia,183358787.02
Austria,34885552.97
Bahamas,352857.99
Bahrain,225153.18
Bangladesh,191859936.73
Armenia,5988059.99
Barbados,316884.54000000004
Belgium,50019753.21
Micronesia,413211.55000000005
Polynesia,708335.48
Bhutan,1009855.5599999999
Bolivia (Plurinational State of),45934844.43
Bosnia and Herzegovina,9226551.11
Botswana,1722431.9
Brazil,2460340490.86
Belize,4307398.24
Solomon Islands,1111274.49
Brunei Darussalam,159523.12
Bulgaria,25192438.58
Myanmar,122810993.81
Burundi,15582037.39
Belarus,69325307.72
Cambodia,50355690.8
Cameroon,54167265.36
Canada,265655113.4
Cabo Verde,200785.42
Central African Republic,5710642.39
Sri Lanka,26827792.28
Chad,15468899.67
Chile,42086855.39
China,4117180860.79
"China, Taiwan Province of",24054937.57
Colombia,139992554.94
Comoros,570787.77
Congo,6539619.45
Democratic Republic of the Congo,121875037.3
Cook Islands,10133.89
Costa Rica,28844063.14
Croatia,16210438.17
Cuba,40309977.75
Cyprus,1754221.08
Czechia,36222005.72
Benin,27230055.34
Denmark,50868901.65
Dominica,255885.37
Dominican Republic,32101225.57
Ecuador,57286256.8
El Salvador,20960895.59
Equatorial Guinea,676361.4
Ethiopia,105048415.73
Eritrea,1447782.18
Estonia,6430077.69
Faroe Islands,5400.54
Fiji,4405817.72
Finland,17789393.57
France,318764635.41
French Polynesia,217912.47
Djibouti,185336.99
Gabon,3266799.8699999996
Georgia,4707217.63
Gambia,597791.47
Palestine,2070459.99
Germany,315477557.6
Ghana,96747684.45
Kiribati,254208.43
Greece,30532065.74
Grenada,93530.83
Guatemala,89726875.75999999
Guinea,24320239.1
Guyana,5609351.1
Haiti,9144039.05
Honduras,23734892.27
"China, Hong Kong SAR",564383.8200000001
Hungary,50099827.15
Iceland,593193.72
India,2765465857.01
Indonesia,768323819.13
Iran (Islamic Republic of),162787923.98
Iraq,28943134.53
Ireland,32568313.119999997
Israel,14672706.43
Italy,153818951.83
Côte d'Ivoire,58959080.49
Jamaica,4218276.91
Japan,108319335.97
Kazakhstan,89006232.78999999
Jordan,6797684.74
Kenya,68364282.71
Democratic People's Republic of Korea,24734647.509999998
Republic of Korea,54165572.760000005
Kuwait,1829637.63
Kyrgyzstan,15651895.02
Lao People's Democratic Republic,32058349.66
Lebanon,7179980.47
Lesotho,830991.13
Latvia,11092997.76
Liberia,3766268.88
Libya,5382288.57
Lithuania,22775045.34
Luxembourg,1470565.76
"China, Macao SAR",25121.170000000002
Madagascar,29564765.85
Malawi,59143854.17
Malaysia,167324249.28
Maldives,29371.22
Mali,40032926.54
Malta,254852.97999999998
Mauritania,2149369.77
Mauritius,6028959.14
Mexico,359975200.07
Mongolia,5850749.09
Republic of Moldova,9748008.17
Montenegro,738302.07
Morocco,54577752.99
Mozambique,37730729.86
Oman,4172145.98
Namibia,2106396.23
Nauru,4126.41
Nepal,56631207.949999996
Netherlands,93053171.01
New Caledonia,140817.92
Vanuatu,653852.21
New Zealand,71223601.13
Nicaragua,25396632.34
Niger,33923948.82
Nigeria,401183752.65000004
Niue,12142.17
Norway,9364477.2
Micronesia (Federated States of),128729.59
Marshall Islands,26147.17
Pakistan,463819937.08
Panama,10817638.97
Papua New Guinea,18588507.88
Paraguay,68200646.92
Peru,87718571.17
Philippines,192123338.34
Poland,198992324.0
Portugal,22724041.32
Guinea-Bissau,1982958.24
Timor-Leste,628858.88
Puerto Rico,1171633.29
Qatar,519569.23
Romania,68711702.41
Russian Federation,588006245.5
Rwanda,18885663.4
Saint Kitts and Nevis,15508.93
Saint Lucia,100636.03
Saint Vincent and the Grenadines,214650.88
Sao Tome and Principe,173267.63999999998
Saudi Arabia,25395330.21
Senegal,25287446.86
Serbia,42609814.839999996
Seychelles,27700.41
Sierra Leone,9282085.49
Singapore,1058378.42
Slovakia,16503923.030000001
Viet Nam,230175676.81
Slovenia,4486656.14
Somalia,7063114.53
South Africa,135287944.28
Zimbabwe,17835082.26
Spain,197152599.15
South Sudan,14742131.92
Sudan,59551563.06
Suriname,953793.51
Eswatini,13299995.55
Sweden,29367407.19
Switzerland,18829189.77
Syrian Arab Republic,31139076.28
Tajikistan,16706913.45
Thailand,364625490.87
Togo,9384307.39
Tokelau,6497.94
Tonga,216659.9
Trinidad and Tobago,494050.07
United Arab Emirates,3172929.51
Tunisia,24174151.75
Türkiye,332466453.67
Turkmenistan,16313913.53
Tuvalu,6685.139999999999
Uganda,60783187.98
Ukraine,289919703.13
North Macedonia,5613786.66
Egypt,208201444.18
United Kingdom,126977743.48
United Republic of Tanzania,95072055.32
United States of America,1868278820.23
Burkina Faso,26426153.83
Uruguay,21427408.15
Uzbekistan,91230493.82
Venezuela (Bolivarian Republic of),34713190.87
Samoa,238303.99
Yemen,7832478.7700000005
Zambia,30649787.36
