Area,Item,Element,Unit,Production
Afghanistan,Maize,Production,tonnes,106670.0
Afghanistan,Wheat,Production,tonnes,3613300.0
Albania,Maize,Production,tonnes,391104.0
Albania,Wheat,Production,tonnes,240294.0
Algeria,Maize,Production,tonnes,5512.0
Algeria,Wheat,Production,tonnes,3981219.15
Angola,Maize,Production,tonnes,2765316.0
Angola,Wheat,Production,tonnes,2953.56
Antigua and Barbuda,Maize,Production,tonnes,36.95
Argentina,Maize,Production,tonnes,43462323.0
Argentina,Wheat,Production,tonnes,18518045.0
Armenia,Maize,Production,tonnes,7615.0
Armenia,Wheat,Production,tonnes,187453.0
Australia,Maize,Production,tonnes,387240.0
Australia,Wheat,Production,tonnes,20941134.0
Austria,Maize,Production,tonnes,2130340.0
Austria,Wheat,Production,tonnes,1367060.0
Azerbaijan,Maize,Production,tonnes,247938.7
Azerbaijan,Wheat,Production,tonnes,1991683.0
Bahamas,Maize,Production,tonnes,680.05
Bangladesh,Maize,Production,tonnes,3288102.0
Bangladesh,Wheat,Production,tonnes,1099373.0
Barbados,Maize,Production,tonnes,109.3
Belarus,Maize,Production,tonnes,1137845.0
Belarus,Wheat,Production,tonnes,1814765.0
Belgium,Maize,Production,tonnes,376550.0
Belgium,Wheat,Production,tonnes,1661860.0
Belize,Maize,Production,tonnes,77766.0
Benin,Maize,Production,tonnes,1509758.35
Bhutan,Maize,Production,tonnes,55259.01
Bhutan,Wheat,Production,tonnes,1445.19
Bolivia (Plurinational State of),Maize,Production,tonnes,1260925.78
Bolivia (Plurinational State of),Wheat,Production,tonnes,301688.85
Bosnia and Herzegovina,Maize,Production,tonnes,1272339.0
Bosnia and Herzegovina,Wheat,Production,tonnes,295810.0
Botswana,Maize,Production,tonnes,24633.18
Botswana,Wheat,Production,tonnes,1212.0
Brazil,Maize,Production,tonnes,82366531.0
Brazil,Wheat,Production,tonnes,5469236.0
Bulgaria,Maize,Production,tonnes,3522500.0
Bulgaria,Wheat,Production,tonnes,5954520.0
Burkina Faso,Maize,Production,tonnes,1700127.04
Burundi,Maize,Production,tonnes,290498.0
Burundi,Wheat,Production,tonnes,22751.0
Cabo Verde,Maize,Production,tonnes,719.4
Cambodia,Maize,Production,tonnes,1232000.0
Cameroon,Maize,Production,tonnes,2099729.11
Cameroon,Wheat,Production,tonnes,700.0
Canada,Maize,Production,tonnes,13884800.0
Canada,Wheat,Production,tonnes,32351900.0
Central African Republic,Maize,Production,tonnes,90000.0
Chad,Maize,Production,tonnes,437898.34
Chad,Wheat,Production,tonnes,1798.02
Chile,Maize,Production,tonnes,1110607.7
Chile,Wheat,Production,tonnes,1469003.4
China,Maize,Production,tonnes,257348659.0
China,Wheat,Production,tonnes,131446596.0
"China, mainland",Maize,Production,tonnes,257173900.0
"China, mainland",Wheat,Production,tonnes,131440500.0
