"","Area","value"
"1","10",31922554.7
"2","101",0
"3","106",0
"4","110",0
"5","114",0
"6","117",0
"7","118",0
"8","120",0
"9","129",0
"10","13",0
"11","130",0
"12","131",0
"13","137",0
"14","144",0
"15","153",84.5
"16","155",0
"17","156",422831
"18","159",0
"19","16",0
"20","168",0
"21","171",0
"22","176",0
"23","179",0
"24","184",0
"25","194",0
"26","200",0
"27","202",0
"28","214",0
"29","215",0
"30","216",0
"31","221",0
"32","225",0
"33","226",0
"34","229",0
"35","231",0
"36","237",0
"37","249",0
"38","25",0
"39","251",0
"40","276",0
"41","28",0
"42","29",0
"43","33",0
"44","38",0
"45","41",0
"46","59",0
"47","66",0
"48","67",0
"49","70",0
"50","79",0
"51","96",0
