NAME_EN,ISIMIP climate projection; wheat
Indonesia,N/A
Malaysia,N/A
Chile,0.32358399999999998
Bolivia (Plurinational State of),0.0243870000000000
Peru,0.54821299999999995
Argentina,0.11620600000000000
Cyprus,0.064856999999999998
India,0.036276000000000003
China,0.23669399999999999
Israel,0.34287299999999998
Palestine,0.31904100000000002
Lebanon,0.40019900000000003
Ethiopia,0.25241599999999997
South Sudan,-0.026820000000000000
Somalia,0.045053000000000003
Kenya,0.26873300000000000
Pakistan,-0.179638000000000
Malawi,0.227993000000000
United Republic of Tanzania,0.14412500000000000
Syrian Arab Republic,0.35538300000000000
France,0.20990200000000001
Suriname,N/A
Guyana,N/A
Republic of Korea,0.70601999999999998
Democratic People's Republic of Korea,0.31798599999999999
Morocco,0.68886000000000003
Costa Rica,N/A
Nicaragua,N/A
Congo,N/A
Democratic Republic of the Congo,N/A
Bhutan,0.030086999999999999
Ukraine,0.16066200000000000
Belarus,0.21959400000000001
Namibia,N/A
South Africa,0.15138299999999999
Saint Martin,N/A
Sint Maarten,N/A
Oman,-0.31681799999999999
Uzbekistan,0.49949800000000000
Kazakhstan,0.29819800000000002
Tajikistan,0.69972199999999996
Lithuania,0.22292799999999999
Brazil,-0.0094490000000000008
Uruguay,0.153877000000000
Mongolia,0.25531500000000001
Russian Federation,0.121262000000000
Czechia,0.41528700000000002
Germany,0.28457900000000003
Estonia,0.29220600000000002
Latvia,0.21117700000000000
Norway,0.18580500000000000
Sweden,0.29682700000000001
Finland,0.27462500000000001
Viet Nam,-0.160940000000000
Cambodia,N/A
Luxembourg,0.33254699999999998
United Arab Emirates,N/A
Belgium,0.32319799999999999
Georgia,0.20795000000000000
North Macedonia,0.33846700000000002
Albania,0.36023200000000000
Azerbaijan,0.20164399999999999
Kosovo,0.34219600000000000
Turkey,0.44236199999999998
Spain,0.146194000000000
Lao People's Democratic Republic,-0.0175080000000000
Kyrgyzstan,0.352404000000000
Armenia,0.154341000000000
Denmark,0.31018400000000002
Libya,0.40588600000000002
Tunisia,0.19482900000000000
Romania,0.31040200000000001
Hungary,0.26683600000000002
Slovakia,0.33558199999999999
Poland,0.34066999999999997
Ireland,0.26772400000000002
United Kingdom of Great Britain and Northern Ireland,0.30618200000000001
Greece,0.42234300000000002
Zambia,0.090510999999999994
Sierra Leone,N/A
Guinea,N/A
Liberia,N/A
Central African Republic,N/A
Sudan,-0.21604300000000001
Djibouti,N/A
Eritrea,0.560571000000000
Austria,0.41056799999999999
Iraq,0.37897399999999998
Italy,0.17698000000000000
Switzerland,0.28373199999999998
Iran (Islamic Republic of),0.42669099999999999
Liechtenstein,0.34109000000000000
Côte d'Ivoire,N/A
Serbia,0.26942800000000000
Mali,-0.32704600000000000
Senegal,N/A
Nigeria,-0.08466400000000000
Benin,N/A
Angola,N/A
Croatia,0.28368599999999999
Slovenia,0.31150600000000001
Qatar,N/A
Saudi Arabia,-0.28959800000000002
Botswana,0.050781000000000000
Zimbabwe,-0.022959000000000000
Bulgaria,0.26285599999999998
Thailand,-0.22132599999999999
San Marino,0.139551000000000
Haiti,N/A
