iso3,crop_reduction_year5
AFG,-55.900340519798775
ALB,-66.34108010841778
DZA,152.45074396459358
AGO,-98.49789976229471
ARG,-78.82306716649359
ARM,-98.12044760963839
AUS,-40.01471837789216
AZE,-91.27927579280812
BHR,30.84272241
BGD,-50.237798523727264
BRB,-100.0
BLR,-100.0
BEN,-69.16668100470952
BTN,-97.25847983996388
BOL,-60.08458688901753
BIH,-89.94313691547768
BWA,-98.6624108996902
BRA,-85.20703496417606
BRN,-100.0
BFA,-72.8962768538389
MMR,-92.09877572518296
BDI,-100.0
CPV,-100.0
KHM,-94.00347188144056
CMR,-81.91748709140099
CAN,-99.96895053941051
CAF,-98.23570434287844
TCD,-74.3888270979137
CHL,-61.3491281653768
CHN,-96.1537116961417
COL,-89.8956223784084
COD,-99.25910827800621
COG,-96.47278822271288
CRI,80.57457957461752
CIV,-83.11193740020192
CUB,-78.3786482054482
DJI,67.89901150390699
DOM,-58.37311000932623
ECU,-85.25147021452493
EGY,-62.119893821699044
SLV,-79.22338494119538
ERI,-46.61350426898967
SWT,-71.34971685678977
ETH,-76.47196146663819
FJI,-100.0
GAB,-93.01588714479165
GMB,-35.541531850183
GEO,-99.49533063341484
GHA,-74.52962830540213
GTM,-68.73711250492312
GIN,-86.97399545333387
GNB,-63.64900197884609
GUY,-66.80833643744567
HTI,91.89048707205008
HND,-81.52309426311778
IND,-56.896641667896205
IDN,-76.18594214532584
IRN,-41.87972277587591
IRQ,2.10424873509496
ISR,-68.69364272618186
JAM,62.596618410000005
JPN,-99.6804083931855
JOR,-66.7762536587955
KAZ,-98.74950904296418
KEN,-60.66410992416771
KOR,-100.0
PRK,-100.0
KWT,-77.14995218080459
KGZ,-98.84658683955419
LAO,-95.81946314523456
LBN,-73.59590021725083
LSO,-93.68962347470944
LBR,-81.21833515108088
LBY,412.2249256294504
MDG,-93.44417051554288
MWI,-79.252036798007
MYS,-74.97896987952696
MLI,-68.85733026349241
MRT,-77.92726127909414
MUS,-100.0
MEX,-93.02502545160202
MDA,-100.0
MNG,-100.0
MAR,18.057873089655978
MOZ,-81.01936243768269
NAM,-97.78015045230369
NPL,-89.05588136834308
NZL,-74.77552127044657
NIC,-83.13369683405817
NER,-58.214338456824365
NGA,-75.01235431275437
MKD,-73.41117276004633
NOR,-100.0
OMN,1525.612264203803
PAK,-60.6196674750382
PAN,57.223056541950946
PNG,-100.0
PRY,-84.63672414164171
PER,-86.84798978037963
PHL,-79.54555649835827
QAT,193.7077576
RUS,-99.87167463031288
RWA,-100.0
SAU,68.10339580735184
SEN,-47.96099225883463
SRB,-98.55337351766612
SLE,-86.55077467355756
SGP,-69.03116784690963
SOM,15.776381637268011
ZAF,-91.9364780795036
SSD,-86.33399467742304
LKA,-46.17334493576714
SDN,-63.393065024204645
SUR,-24.749772888143852
CHE,-99.68240417483842
SYR,-36.19409554219765
TWN,-96.1537116961417
TJK,-93.08960911638648
TZA,-85.55146387449624
THA,-97.27171013914251
TGO,-65.81836578915394
TTO,-100.0
TUN,62.169604562101235
TUR,-49.18830620993987
TKM,-60.36310027600008
UGA,-99.687882073457
UKR,-99.86678690806032
ARE,561.06724344479
USA,-96.86136172755852
URY,-83.95573008337436
UZB,-71.28024101845843
VEN,-73.82719058110115
VNM,-84.82096836854438
YEM,-48.500693870454995
ZMB,-95.64654578990114
ZWE,-93.41507769180576
AUT,-99.65850224545868
BEL,-100.0
BGR,-95.39348403861872
HRV,-90.31923166398605
CYP,6.8064248618555006
CZE,-99.71725767387596
DNK,-100.0
EST,-100.0
FIN,-100.0
FRA,-90.43087713531665
DEU,-100.0
GRC,-41.32850724837936
HUN,-96.74336816924416
IRL,-99.7787109159499
ITA,-73.21881218263019
LVA,-100.0
LTU,-100.0
LUX,-100.0
MLT,-100.0
NLD,-100.0
POL,-99.94294980307205
PRT,-58.83696675088086
ROU,-99.7992232671204
SVK,-97.54523772101945
SVN,-97.90326135619414
ESP,-26.65377880701544
SWE,-100.0
GBR,-99.2985449838386
