country,mean_value
Poland,-42.925864458084106
Senegal,-11.64507195353508
Moldova,-9.073873609304428
Bhutan,-30.674800276756287
Chad,-1.1620762757956982
Guinea-Bissau,0.0
Australia,-39.83941376209259
Serbia,-36.60705089569092
Azerbaijan,-21.11871838569641
Madagascar,-4.09548245370388
Netherlands,-61.16484999656677
Georgia,-0.16534889582544565
Iraq,-8.636006712913513
Austria,-58.547329902648926
Cuba,-1.6539359465241432
United States,-51.20547413825989
Morocco,-1.4873773790895939
Ukraine,-32.501327991485596
South Korea,-40.53141474723816
Chile,-60.7357919216156
Czech Republic,-44.120317697525024
Togo,-1.3442350551486015
Cameroon,-14.735819399356842
Mexico,-22.115010023117065
Côte d'Ivoire,-5.356179922819138
Mauritania,0.0
Central African Republic,0.0
Thailand,-16.381655633449554
North Macedonia,-21.137923002243042
Hungary,-39.291512966156006
Benin,-1.0344537906348705
Montenegro,-44.515737891197205
Russian Federation,-13.221193850040436
Turkmenistan,0.0
Honduras,-5.603921785950661
Egypt,-66.83420538902283
Syria,-13.161534070968628
Greece,-53.55458855628967
Somalia,-5.480189621448517
Malawi,-24.991291761398315
Uruguay,-6.397447735071182
Bolivia,-25.670921802520752
Nicaragua,-1.0549765080213547
Slovenia,-49.34558868408203
Bangladesh,-13.481293618679047
El Salvador,-38.65489363670349
Venezuela,-25.74555277824402
Sri Lanka,-8.73485580086708
Romania,-15.654779970645905
Ecuador,-10.729506611824036
Yemen,-16.418077051639557
Israel,-83.51172804832458
New Zealand,-71.93554639816284
Kenya,-4.290999472141266
Dominican Republic,-0.6176663562655449
Nepal,-5.112213641405106
Timor-Leste,-16.616636514663696
Myanmar,-42.52847731113434
Guatemala,-8.506142348051071
Rwanda,-11.500096321105957
Italy,-45.1136976480484
Kazakhstan,-26.559200882911682
Kyrgyzstan,-16.770780086517334
Colombia,-17.090098559856415
Ethiopia,-21.410876512527466
Pakistan,-22.590473294258118
Angola,-0.21405154839158058
Slovakia,-33.80429744720459
Namibia,0.0
Croatia,-30.46918511390686
Gabon,-1.535781193524599
Mozambique,-0.831355806440115
Zambia,-33.793905377388
Haiti,-0.05582778248935938
Mali,-22.933997213840485
Congo DRC,-0.09845730382949114
Brazil,-39.75569009780884
Turkey,-46.29743695259094
Afghanistan,-0.6984137464314699
Laos,-51.543521881103516
Argentina,-42.28611886501312
Canada,-48.581358790397644
Burkina Faso,-6.196120008826256
Belize,-39.125242829322815
Sierra Leone,0.0
Uzbekistan,-28.462061285972595
North Korea,-3.156154230237007
Bosnia and Herzegovina,-10.748237371444702
Ghana,-6.431388854980469
Indonesia,-32.243892550468445
Zimbabwe,-1.0116576217114925
Lesotho,-0.2246864838525653
Trinidad and Tobago,-28.04461121559143
India,-20.152142643928528
France,-46.474772691726685
Burundi,-0.0034057837183354422
Belgium,-62.26598620414734
Spain,-60.034871101379395
South Africa,-42.205628752708435
Vietnam,-36.98527216911316
Germany,-50.451821088790894
Paraguay,-34.57570970058441
Bulgaria,-37.68926560878754
Gambia,-1.3892676681280136
Nigeria,-9.441037476062775
Botswana,0.0
Iran,-50.61940550804138
Albania,-25.645112991333008
Philippines,-13.481709361076355
Uganda,-27.429449558258057
Eswatini,-1.0339275002479553
Portugal,-27.366188168525696
China,-26.031309366226196
Panama,-0.9573608636856079
Cambodia,-38.66276741027832
Costa Rica,-27.42653489112854
Switzerland,-52.874624729156494
Peru,-24.581076204776764
Saudi Arabia,-30.24374544620514
Belarus,-33.096981048583984
Tanzania,-4.516913369297981
Eritrea,-2.792683243751526
Guinea,-10.014893859624863
Tajikistan,-63.40508460998535
Malaysia,-71.49448990821838
