country,mean_value
Japan,-16.577032208442688
Poland,-51.24472379684448
Armenia,-31.69093430042267
Jordan,0.0
Moldova,-32.36582577228546
Bhutan,-42.29137897491455
Australia,-34.400153160095215
Serbia,-49.50808584690094
Azerbaijan,-22.15368300676346
Netherlands,-71.88241481781006
Georgia,-0.08253409760072827
Iraq,-19.408760964870453
Austria,-60.72637438774109
United States,-41.432225704193115
Morocco,-23.370864987373352
Ukraine,-42.6155686378479
Chile,-63.71918320655823
Czech Republic,-55.29134273529053
Mexico,-58.001166582107544
Denmark,-66.43077731132507
North Macedonia,-39.62118625640869
Hungary,-52.249521017074585
Russian Federation,-17.099134624004364
Turkmenistan,-18.316973745822906
Ireland,-74.1424560546875
Egypt,-67.36690998077393
Syria,-32.725635170936584
Greece,-29.58770990371704
Norway,-40.95214009284973
Uruguay,-46.62112593650818
Bolivia,-7.5647152960300446
Slovenia,-47.94207215309143
Bangladesh,-9.438711404800415
Romania,-38.89446556568146
Ecuador,-1.7808008939027786
Yemen,-34.452590346336365
Israel,-19.770994782447815
New Zealand,-61.327093839645386
Kenya,-25.715073943138123
Latvia,-35.45334339141846
Estonia,-26.94581151008606
Nepal,-24.644072353839874
Libya,-0.030406142468564212
Myanmar,-11.044377088546753
Rwanda,-5.5375393480062485
Italy,-33.18473696708679
Kazakhstan,-3.488817438483238
Kyrgyzstan,-14.383116364479065
Colombia,-21.49042934179306
Ethiopia,-20.2953040599823
Pakistan,-20.785167813301086
Tunisia,-28.201833367347717
Slovakia,-38.60102295875549
Croatia,-50.14653205871582
Zambia,-73.74030947685242
United Kingdom,-69.48139667510986
Brazil,-27.17728614807129
Mongolia,-9.67719629406929
Turkey,-35.333362221717834
Afghanistan,-26.18023455142975
Argentina,-29.416096210479736
Canada,-43.329933285713196
Uzbekistan,-57.930535078048706
North Korea,-0.4113270901143551
Bosnia and Herzegovina,-36.42289638519287
Sudan,-6.061059236526489
Luxembourg,-59.374213218688965
Lesotho,-1.8669301643967628
Sweden,-57.72237777709961
India,-26.546525955200195
France,-60.85379719734192
Burundi,0.0
Belgium,-72.81790375709534
Spain,-41.16935133934021
South Africa,-56.30674958229065
Germany,-68.0412232875824
Paraguay,-17.195872962474823
Bulgaria,-44.984036684036255
Lithuania,-32.49365985393524
Algeria,-17.34125018119812
Nigeria,-66.57251119613647
Iran,-21.12947106361389
Albania,-54.71491813659668
Finland,-43.68568658828735
Portugal,-14.389987289905548
China,-39.454883337020874
Switzerland,-56.05625510215759
Peru,-10.628239065408707
Saudi Arabia,-70.88207006454468
Belarus,-33.53700041770935
Tanzania,-2.989467978477478
Eritrea,-8.578252792358398
Tajikistan,-42.7262544631958
Lebanon,-50.51116347312927
