nation-name,47tg
Afghanistan,-28.91
Albania,50.0
Algeria,50.0
Angola,-68.07
Argentina,-22.22
Armenia,6.56
Australia,11.04
Austria,-80.46
Azerbaijan,-14.24
Bangladesh,13.86
Belarus,-91.79
Belgium,-84.18
Belize,50.0
Bhutan,-78.34
Bolivia,-38.7
Bosnia and Herzegovina,50.0
Botswana,-58.5
Brazil,-7.24
Bulgaria,15.76
Burkina Faso,35.86
Cameroon,-22.1
Canada,-99.56
Caspian Sea,-24.36
Chad,-10.75
Chile,-51.76
China,-64.41
Colombia,-55.1
Croatia,35.7
Cyprus,41.66
Czech Republic,-90.77
Denmark,-100.0
Djibouti,-36.88
Ecuador,-55.87
Egypt,-2.25
Eritrea,3.1
Estonia,-100.0
Ethiopia,-72.17
Finland,-100.0
France,-43.62
Georgia,8.39
Germany,-98.59
Greece,50.0
Guatemala,1.78
Guernsey,-31.66
Hungary,-38.0
Iceland,-100.0
India,-5.15
Iran,-32.63
Iraq,-23.4
Ireland,-86.11
Isle of Man,-99.82
Israel,-0.84
Italy,14.4
Japan,-73.9
Jersey,-30.16
Jordan,-3.35
Kazakhstan,-82.25
Kenya,-74.1
Kosovo,22.65
Kuwait,-40.76
Kyrgyzstan,-58.04
Laos,-57.92
Latvia,-100.0
Lebanon,-4.46
Lesotho,-9.5
Libya,50.0
Lithuania,-100.0
Luxembourg,-85.73
Macedonia,50.0
Malawi,-72.47
Mali,-11.5
Mexico,-51.57
Moldova,-48.75
Mongolia,-100.0
Montenegro,50.0
Morocco,50.0
Mozambique,-19.58
Myanmar,-42.29
Namibia,-86.1
Nepal,-49.19
Netherlands,-97.25
New Zealand,-14.66
Niger,34.34
Nigeria,-28.94
North Korea,-99.8
Norway,-100.0
Pakistan,-36.05
Paraguay,-7.06
Peru,-37.3
Poland,-85.31
Portugal,50.0
Romania,-38.08
Russia,-94.99
Saudi Arabia,7.58
Serbia,-9.71
Slovakia,-52.83
Slovenia,-35.97
Somalia,50.0
South Africa,-15.37
South Korea,-92.97
South Sudan,-47.05
Spain,50.0
Sudan,19.01
Swaziland,1.12
Sweden,-100.0
Switzerland,-85.69
Syria,-28.63
Tajikistan,-61.19
Tanzania,-72.72
Thailand,-44.75
Tunisia,50.0
Turkey,31.19
Turkmenistan,-41.96
Ukraine,-52.28
United Arab Emirates,-78.29
United Kingdom,-93.1
United States,-62.69
Uruguay,-1.98
Uzbekistan,-37.94
Venezuela,-95.71
Vietnam,-49.84
Yemen,26.65
Zambia,-47.74
Zimbabwe,-32.64
