Reporter Countries,Partner Countries,Element,Item,Unit,Quantity
Australia,Bahrain,Export Quantity,Maize,tonnes,0.04
Australia,Bahrain,Export Quantity,Wheat,tonnes,105316.7
Australia,Bangladesh,Export Quantity,Maize,tonnes,0.08
Australia,Bangladesh,Export Quantity,Wheat,tonnes,91540.2
Australia,Canada,Export Quantity,Maize,tonnes,1.0
Australia,Canada,Export Quantity,Wheat,tonnes,1166.53
Australia,"China, Hong Kong SAR",Export Quantity,Maize,tonnes,4.06
Australia,"China, Hong Kong SAR",Export Quantity,Wheat,tonnes,276.13
Australia,"China, mainland",Export Quantity,Maize,tonnes,4.12
Australia,"China, mainland",Export Quantity,Wheat,tonnes,472274.7
Australia,"China, Taiwan Province of",Export Quantity,Maize,tonnes,776.77
Australia,"China, Taiwan Province of",Export Quantity,Wheat,tonnes,169577.58
Australia,Egypt,Export Quantity,Wheat,tonnes,178105.2
Australia,Fiji,Export Quantity,Maize,tonnes,25.1
Australia,Fiji,Export Quantity,Wheat,tonnes,180466.46
Australia,French Polynesia,Export Quantity,Wheat,tonnes,372.67
Australia,Germany,Export Quantity,Maize,tonnes,29.85
Australia,Guatemala,Export Quantity,Maize,tonnes,3.32
Australia,India,Export Quantity,Wheat,tonnes,30780.3
Australia,Indonesia,Export Quantity,Maize,tonnes,1661.75
Australia,Indonesia,Export Quantity,Wheat,tonnes,2225788.38
Australia,Iraq,Export Quantity,Wheat,tonnes,699404.0
Australia,Italy,Export Quantity,Wheat,tonnes,163871.0
Australia,Japan,Export Quantity,Maize,tonnes,1144.49
Australia,Japan,Export Quantity,Wheat,tonnes,897430.5
Australia,Jordan,Export Quantity,Wheat,tonnes,1033.24
Australia,Kenya,Export Quantity,Wheat,tonnes,44469.0
Australia,Kiribati,Export Quantity,Maize,tonnes,2.2
Australia,Kuwait,Export Quantity,Wheat,tonnes,397210.0
Australia,Malaysia,Export Quantity,Maize,tonnes,3.05
Australia,Malaysia,Export Quantity,Wheat,tonnes,705243.6
Australia,Mauritius,Export Quantity,Wheat,tonnes,73.45
Australia,Mexico,Export Quantity,Maize,tonnes,24.0
Australia,Myanmar,Export Quantity,Maize,tonnes,1.54
Australia,Myanmar,Export Quantity,Wheat,tonnes,312972.43
Australia,New Caledonia,Export Quantity,Maize,tonnes,3.85
Australia,New Caledonia,Export Quantity,Wheat,tonnes,25616.11
Australia,New Zealand,Export Quantity,Maize,tonnes,150.27
Australia,New Zealand,Export Quantity,Wheat,tonnes,531489.82
Australia,Nigeria,Export Quantity,Wheat,tonnes,265040.0
Australia,Oman,Export Quantity,Wheat,tonnes,66726.3
Australia,Papua New Guinea,Export Quantity,Maize,tonnes,341.45
Australia,Papua New Guinea,Export Quantity,Rice,tonnes,163.0
Australia,Papua New Guinea,Export Quantity,Wheat,tonnes,224846.7
Australia,Philippines,Export Quantity,Maize,tonnes,272.54
Australia,Philippines,Export Quantity,Wheat,tonnes,1448623.66
Australia,Qatar,Export Quantity,Maize,tonnes,0.03
Australia,Qatar,Export Quantity,Wheat,tonnes,20881.2
Australia,Republic of Korea,Export Quantity,Maize,tonnes,55309.86
Australia,Republic of Korea,Export Quantity,Wheat,tonnes,1005416.92
Australia,Samoa,Export Quantity,Maize,tonnes,48.98
Australia,Saudi Arabia,Export Quantity,Wheat,tonnes,10329.76
Australia,Singapore,Export Quantity,Maize,tonnes,39.12
Australia,Singapore,Export Quantity,Wheat,tonnes,109681.23
Australia,Solomon Islands,Export Quantity,Wheat,tonnes,15522.8
Australia,South Africa,Export Quantity,Maize,tonnes,14.68
Australia,Spain,Export Quantity,Maize,tonnes,2098.72
Australia,Sri Lanka,Export Quantity,Wheat,tonnes,50358.97
Australia,Sudan,Export Quantity,Wheat,tonnes,11000.0
Australia,Thailand,Export Quantity,Maize,tonnes,0.5
Australia,Thailand,Export Quantity,Wheat,tonnes,350474.34
