Reporter Countries,Partner Countries,Element,Item,Unit,Y2021
Australia,Argentina,Import Quantity,Maize,tonnes,337.5
Australia,Argentina,Export Quantity,Maize,tonnes,0.12
Australia,Argentina,Import Quantity,Rice,tonnes,10.0
Australia,Argentina,Export Quantity,Rice,tonnes,2.0
Australia,Bahrain,Export Quantity,Wheat,tonnes,82500.0
Australia,Bangladesh,Export Quantity,Maize,tonnes,4.0
Australia,Bangladesh,Import Quantity,Rice,tonnes,429.0
Australia,Bangladesh,Export Quantity,Wheat,tonnes,451240.6
Australia,Belgium,Import Quantity,Rice,tonnes,224.0
Australia,Brazil,Import Quantity,Maize,tonnes,270.0
Australia,Brunei Darussalam,Export Quantity,Maize,tonnes,0.32
Australia,Burundi,Export Quantity,Wheat,tonnes,23541.0
Australia,Cambodia,Import Quantity,Rice,tonnes,11204.0
Australia,"China, Hong Kong SAR",Export Quantity,Maize,tonnes,30.65
Australia,"China, Hong Kong SAR",Import Quantity,Rice,tonnes,2.0
Australia,"China, Hong Kong SAR",Export Quantity,Rice,tonnes,0.0
Australia,"China, Hong Kong SAR",Export Quantity,Wheat,tonnes,1074.83
Australia,"China, mainland",Export Quantity,Maize,tonnes,12.44
Australia,"China, mainland",Import Quantity,Rice,tonnes,2027.0
Australia,"China, mainland",Export Quantity,Wheat,tonnes,2943393.26
Australia,"China, Taiwan Province of",Export Quantity,Maize,tonnes,237.32
Australia,"China, Taiwan Province of",Import Quantity,Rice,tonnes,3516.0
Australia,"China, Taiwan Province of",Export Quantity,Wheat,tonnes,282394.26
Australia,Egypt,Export Quantity,Wheat,tonnes,320570.4
Australia,Fiji,Export Quantity,Maize,tonnes,14.99
Australia,Fiji,Import Quantity,Rice,tonnes,14.0
Australia,Fiji,Export Quantity,Wheat,tonnes,169735.78
Australia,France,Import Quantity,Rice,tonnes,1.0
Australia,French Polynesia,Export Quantity,Maize,tonnes,247.77
Australia,French Polynesia,Export Quantity,Wheat,tonnes,625.28
Australia,Germany,Export Quantity,Maize,tonnes,4.26
Australia,Germany,Import Quantity,Rice,tonnes,48.0
Australia,Ghana,Import Quantity,Maize,tonnes,7.65
Australia,Ghana,Import Quantity,Rice,tonnes,4.0
Australia,Greece,Import Quantity,Rice,tonnes,3.0
Australia,India,Import Quantity,Maize,tonnes,0.89
Australia,India,Import Quantity,Rice,tonnes,54558.0
Australia,India,Import Quantity,Wheat,tonnes,6.08
Australia,Indonesia,Export Quantity,Maize,tonnes,300.0
Australia,Indonesia,Export Quantity,Wheat,tonnes,4938500.11
Australia,Iran (Islamic Republic of),Import Quantity,Rice,tonnes,162.0
Australia,Israel,Export Quantity,Maize,tonnes,0.05
Australia,Italy,Import Quantity,Maize,tonnes,12.49
Australia,Italy,Import Quantity,Rice,tonnes,4581.0
Australia,Italy,Import Quantity,Wheat,tonnes,2.31
Australia,Italy,Export Quantity,Wheat,tonnes,464616.4
Australia,Japan,Export Quantity,Maize,tonnes,3049.32
Australia,Japan,Import Quantity,Rice,tonnes,990.0
Australia,Japan,Export Quantity,Wheat,tonnes,1216260.6
Australia,Jordan,Import Quantity,Rice,tonnes,20.0
Australia,Jordan,Import Quantity,Wheat,tonnes,1.51
Australia,Kenya,Export Quantity,Wheat,tonnes,508219.6
Australia,Kuwait,Export Quantity,Wheat,tonnes,440514.6
Australia,Lao People's Democratic Republic,Import Quantity,Rice,tonnes,369.0
Australia,Lao People's Democratic Republic,Export Quantity,Wheat,tonnes,2010.02
Australia,Lebanon,Import Quantity,Rice,tonnes,0.0
Australia,Lebanon,Import Quantity,Wheat,tonnes,0.2
Australia,Madagascar,Export Quantity,Wheat,tonnes,32307.0
Australia,Malawi,Export Quantity,Wheat,tonnes,113250.0
Australia,Malaysia,Export Quantity,Maize,tonnes,5805.47
Australia,Malaysia,Export Quantity,Wheat,tonnes,1151033.46
Australia,Mauritius,Export Quantity,Wheat,tonnes,63.17
Australia,Mozambique,Export Quantity,Wheat,tonnes,284279.6
Australia,Myanmar,Export Quantity,Maize,tonnes,0.65
Australia,Myanmar,Import Quantity,Rice,tonnes,133.0
Australia,Myanmar,Export Quantity,Wheat,tonnes,373348.5
Australia,Namibia,Import Quantity,Maize,tonnes,4.8
Australia,Nauru,Export Quantity,Maize,tonnes,0.13
Australia,Nepal,Import Quantity,Rice,tonnes,36.0
Australia,Netherlands (Kingdom of the),Import Quantity,Rice,tonnes,19.0
Australia,New Caledonia,Export Quantity,Maize,tonnes,28.42
Australia,New Caledonia,Export Quantity,Wheat,tonnes,29851.56
Australia,New Zealand,Import Quantity,Maize,tonnes,1369.37
Australia,New Zealand,Export Quantity,Maize,tonnes,90.02
Australia,New Zealand,Import Quantity,Rice,tonnes,2.0
Australia,New Zealand,Import Quantity,Wheat,tonnes,1010.34
Australia,New Zealand,Export Quantity,Wheat,tonnes,546278.82
Australia,Nigeria,Export Quantity,Wheat,tonnes,115280.0
Australia,Oman,Export Quantity,Wheat,tonnes,75584.58
Australia,Pakistan,Export Quantity,Maize,tonnes,0.4
Australia,Pakistan,Import Quantity,Rice,tonnes,13010.0
Australia,Papua New Guinea,Export Quantity,Maize,tonnes,62.42
Australia,Papua New Guinea,Export Quantity,Rice,tonnes,7.0
Australia,Papua New Guinea,Export Quantity,Wheat,tonnes,252645.9
Australia,Peru,Import Quantity,Maize,tonnes,0.38
Australia,Philippines,Export Quantity,Maize,tonnes,649.31
Australia,Philippines,Export Quantity,Wheat,tonnes,1969593.52
Australia,Qatar,Export Quantity,Wheat,tonnes,62783.2
Australia,Republic of Korea,Export Quantity,Maize,tonnes,75632.76
Australia,Republic of Korea,Import Quantity,Rice,tonnes,335.0
Australia,Republic of Korea,Export Quantity,Wheat,tonnes,1133738.28
Australia,Rwanda,Export Quantity,Wheat,tonnes,42526.2
Australia,Samoa,Export Quantity,Maize,tonnes,0.01
Australia,Saudi Arabia,Export Quantity,Wheat,tonnes,481946.6
Australia,Sierra Leone,Import Quantity,Rice,tonnes,17.0
Australia,Singapore,Export Quantity,Maize,tonnes,709.3
Australia,Singapore,Import Quantity,Rice,tonnes,358.0
Australia,Singapore,Export Quantity,Wheat,tonnes,108995.27
Australia,Solomon Islands,Export Quantity,Wheat,tonnes,13167.68
Australia,South Africa,Import Quantity,Maize,tonnes,14.73
Australia,South Africa,Export Quantity,Maize,tonnes,8.46
Australia,South Africa,Import Quantity,Rice,tonnes,6.0
Australia,South Africa,Export Quantity,Wheat,tonnes,589422.1
Australia,Spain,Import Quantity,Rice,tonnes,1269.0
Australia,Sri Lanka,Import Quantity,Rice,tonnes,642.0
Australia,Sri Lanka,Export Quantity,Wheat,tonnes,577683.1
Australia,Sudan,Export Quantity,Wheat,tonnes,226075.6
Australia,Thailand,Export Quantity,Maize,tonnes,2.75
Australia,Thailand,Import Quantity,Rice,tonnes,62216.0
Australia,Thailand,Export Quantity,Wheat,tonnes,1053869.28
Australia,Timor-Leste,Export Quantity,Maize,tonnes,0.01
Australia,Timor-Leste,Export Quantity,Wheat,tonnes,0.01
Australia,Türkiye,Export Quantity,Maize,tonnes,7.5
Australia,Türkiye,Import Quantity,Rice,tonnes,84.0
Australia,Türkiye,Import Quantity,Wheat,tonnes,49.79
Australia,Uganda,Export Quantity,Wheat,tonnes,123014.4
Australia,United Arab Emirates,Export Quantity,Maize,tonnes,0.2
Australia,United Arab Emirates,Import Quantity,Rice,tonnes,43.0
Australia,United Arab Emirates,Export Quantity,Wheat,tonnes,250157.3
Australia,United Kingdom of Great Britain and Northern Ireland,Import Quantity,Rice,tonnes,4.0
Australia,United Kingdom of Great Britain and Northern Ireland,Export Quantity,Wheat,tonnes,6719.8
Australia,United Republic of Tanzania,Export Quantity,Wheat,tonnes,200866.82
Australia,United States of America,Import Quantity,Maize,tonnes,513.4
Australia,United States of America,Import Quantity,Rice,tonnes,9661.0
Australia,Uruguay,Import Quantity,Rice,tonnes,505.0
Australia,Uruguay,Export Quantity,Rice,tonnes,12.0
Australia,Vanuatu,Export Quantity,Maize,tonnes,3.05
Australia,Viet Nam,Import Quantity,Maize,tonnes,14.59
Australia,Viet Nam,Import Quantity,Rice,tonnes,37090.0
Australia,Viet Nam,Export Quantity,Wheat,tonnes,3028631.0
Australia,Yemen,Export Quantity,Wheat,tonnes,856726.0
Australia,Zambia,Export Quantity,Wheat,tonnes,18000.0
Cook Islands,"China, mainland",Import Quantity,Rice,tonnes,369.0
Cook Islands,Fiji,Import Quantity,Maize,tonnes,0.01
Cook Islands,Fiji,Import Quantity,Rice,tonnes,85.0
Cook Islands,France,Export Quantity,Maize,tonnes,0.03
Cook Islands,Mozambique,Import Quantity,Rice,tonnes,0.0
Cook Islands,New Zealand,Import Quantity,Maize,tonnes,3.67
Cook Islands,New Zealand,Import Quantity,Rice,tonnes,30.0
Cook Islands,Türkiye,Import Quantity,Rice,tonnes,0.0
Fiji,Argentina,Import Quantity,Maize,tonnes,51.26
Fiji,Australia,Import Quantity,Maize,tonnes,17.07
Fiji,Australia,Import Quantity,Rice,tonnes,136.0
Fiji,Australia,Export Quantity,Rice,tonnes,12.0
Fiji,Australia,Import Quantity,Wheat,tonnes,111272.48
Fiji,Bangladesh,Import Quantity,Maize,tonnes,4.77
Fiji,Bangladesh,Import Quantity,Rice,tonnes,2.0
Fiji,Brazil,Import Quantity,Maize,tonnes,1.98
Fiji,"China, Hong Kong SAR",Import Quantity,Rice,tonnes,26.0
Fiji,"China, mainland",Import Quantity,Maize,tonnes,0.5
Fiji,"China, mainland",Import Quantity,Rice,tonnes,14978.0
Fiji,Cook Islands,Export Quantity,Maize,tonnes,0.01
Fiji,Cook Islands,Export Quantity,Rice,tonnes,85.0
Fiji,French Polynesia,Export Quantity,Rice,tonnes,216.0
Fiji,India,Import Quantity,Rice,tonnes,6743.0
Fiji,Kiribati,Export Quantity,Maize,tonnes,3.64
Fiji,Kiribati,Export Quantity,Rice,tonnes,541.0
Fiji,Malaysia,Import Quantity,Rice,tonnes,532.0
Fiji,Marshall Islands,Export Quantity,Rice,tonnes,1.0
Fiji,Nauru,Export Quantity,Rice,tonnes,120.0
Fiji,New Zealand,Import Quantity,Maize,tonnes,51.07
Fiji,New Zealand,Import Quantity,Rice,tonnes,8.0
Fiji,New Zealand,Export Quantity,Rice,tonnes,77.0
Fiji,New Zealand,Import Quantity,Wheat,tonnes,0.3
Fiji,Niue,Export Quantity,Rice,tonnes,0.0
Fiji,Papua New Guinea,Import Quantity,Wheat,tonnes,1001.02
Fiji,Republic of Korea,Import Quantity,Maize,tonnes,0.06
Fiji,Republic of Korea,Import Quantity,Rice,tonnes,0.0
Fiji,Samoa,Export Quantity,Rice,tonnes,6.0
Fiji,Singapore,Import Quantity,Rice,tonnes,54.0
Fiji,Thailand,Import Quantity,Rice,tonnes,12804.0
Fiji,Tonga,Export Quantity,Rice,tonnes,44.0
Fiji,Tuvalu,Export Quantity,Rice,tonnes,167.0
Fiji,United States of America,Import Quantity,Maize,tonnes,3.59
Fiji,United States of America,Export Quantity,Maize,tonnes,0.01
Fiji,United States of America,Import Quantity,Rice,tonnes,1.0
Fiji,Vanuatu,Export Quantity,Maize,tonnes,0.55
Fiji,Vanuatu,Export Quantity,Rice,tonnes,373.0
Fiji,Viet Nam,Import Quantity,Rice,tonnes,13950.0
French Polynesia,Australia,Import Quantity,Maize,tonnes,247.77
French Polynesia,Australia,Import Quantity,Wheat,tonnes,625.28
French Polynesia,Belgium,Import Quantity,Rice,tonnes,6.0
French Polynesia,Belgium,Import Quantity,Wheat,tonnes,0.1
French Polynesia,Cambodia,Import Quantity,Rice,tonnes,227.0
French Polynesia,"China, Taiwan Province of",Import Quantity,Rice,tonnes,6.0
French Polynesia,Fiji,Import Quantity,Rice,tonnes,216.0
French Polynesia,France,Import Quantity,Maize,tonnes,2.81
French Polynesia,France,Import Quantity,Rice,tonnes,51.0
French Polynesia,France,Import Quantity,Wheat,tonnes,3.76
French Polynesia,Italy,Import Quantity,Rice,tonnes,5.0
French Polynesia,New Zealand,Import Quantity,Maize,tonnes,0.31
French Polynesia,New Zealand,Import Quantity,Rice,tonnes,26.0
French Polynesia,New Zealand,Import Quantity,Wheat,tonnes,0.02
French Polynesia,Thailand,Import Quantity,Rice,tonnes,4245.0
French Polynesia,United States of America,Import Quantity,Maize,tonnes,2897.64
French Polynesia,United States of America,Import Quantity,Rice,tonnes,48.0
Kiribati,"China, mainland",Import Quantity,Rice,tonnes,3124.0
Kiribati,"China, Taiwan Province of",Import Quantity,Rice,tonnes,5646.0
Kiribati,Fiji,Import Quantity,Maize,tonnes,3.64
Kiribati,Fiji,Import Quantity,Rice,tonnes,541.0
Kiribati,India,Import Quantity,Rice,tonnes,25.0
Kiribati,New Zealand,Import Quantity,Maize,tonnes,0.01
Kiribati,New Zealand,Import Quantity,Rice,tonnes,0.0
Kiribati,Philippines,Import Quantity,Maize,tonnes,20.0
New Caledonia,Australia,Import Quantity,Maize,tonnes,28.42
New Caledonia,Australia,Import Quantity,Wheat,tonnes,29851.56
New Caledonia,France,Import Quantity,Maize,tonnes,25.19
New Caledonia,France,Import Quantity,Rice,tonnes,18.0
New Caledonia,Italy,Import Quantity,Rice,tonnes,0.0
New Caledonia,New Zealand,Import Quantity,Maize,tonnes,388.93
New Caledonia,New Zealand,Import Quantity,Rice,tonnes,3.0
New Caledonia,Thailand,Import Quantity,Rice,tonnes,5658.0
New Zealand,Argentina,Export Quantity,Maize,tonnes,0.7
New Zealand,Argentina,Import Quantity,Rice,tonnes,68.0
New Zealand,Australia,Import Quantity,Maize,tonnes,12.63
New Zealand,Australia,Export Quantity,Maize,tonnes,1629.52
New Zealand,Australia,Import Quantity,Rice,tonnes,5379.0
New Zealand,Australia,Export Quantity,Rice,tonnes,81.0
New Zealand,Australia,Import Quantity,Wheat,tonnes,539362.0
New Zealand,Australia,Export Quantity,Wheat,tonnes,0.05
New Zealand,Austria,Import Quantity,Maize,tonnes,0.25
New Zealand,Bahrain,Export Quantity,Rice,tonnes,0.0
New Zealand,Bangladesh,Import Quantity,Rice,tonnes,43.0
New Zealand,Belgium,Import Quantity,Rice,tonnes,36.0
New Zealand,Brazil,Import Quantity,Wheat,tonnes,0.01
New Zealand,Cambodia,Import Quantity,Rice,tonnes,3992.0
New Zealand,Canada,Export Quantity,Wheat,tonnes,10.62
New Zealand,Chile,Import Quantity,Maize,tonnes,0.27
New Zealand,"China, Hong Kong SAR",Export Quantity,Maize,tonnes,0.3
New Zealand,"China, Macao SAR",Export Quantity,Rice,tonnes,0.0
New Zealand,"China, mainland",Import Quantity,Maize,tonnes,20.53
New Zealand,"China, mainland",Import Quantity,Rice,tonnes,521.0
New Zealand,"China, Taiwan Province of",Import Quantity,Rice,tonnes,226.0
New Zealand,Cook Islands,Export Quantity,Maize,tonnes,3.67
New Zealand,Cook Islands,Export Quantity,Rice,tonnes,30.0
New Zealand,Fiji,Export Quantity,Maize,tonnes,74.29
New Zealand,Fiji,Import Quantity,Rice,tonnes,73.0
New Zealand,Fiji,Export Quantity,Rice,tonnes,15.0
New Zealand,Fiji,Export Quantity,Wheat,tonnes,0.23
New Zealand,Finland,Export Quantity,Wheat,tonnes,40.5
New Zealand,France,Import Quantity,Maize,tonnes,143.05
New Zealand,France,Export Quantity,Maize,tonnes,58.61
New Zealand,France,Import Quantity,Wheat,tonnes,0.5
New Zealand,French Polynesia,Export Quantity,Maize,tonnes,0.31
New Zealand,French Polynesia,Export Quantity,Rice,tonnes,26.0
New Zealand,French Polynesia,Export Quantity,Wheat,tonnes,0.02
New Zealand,Germany,Import Quantity,Maize,tonnes,0.32
New Zealand,Germany,Export Quantity,Maize,tonnes,52.72
New Zealand,Germany,Import Quantity,Rice,tonnes,0.0
New Zealand,Germany,Export Quantity,Wheat,tonnes,1.08
New Zealand,Greece,Import Quantity,Rice,tonnes,0.0
New Zealand,Greece,Import Quantity,Wheat,tonnes,0.15
New Zealand,India,Import Quantity,Maize,tonnes,1.26
New Zealand,India,Import Quantity,Rice,tonnes,9978.0
New Zealand,India,Export Quantity,Rice,tonnes,31.0
New Zealand,India,Import Quantity,Wheat,tonnes,11.61
New Zealand,Indonesia,Import Quantity,Rice,tonnes,0.0
New Zealand,Iran (Islamic Republic of),Import Quantity,Rice,tonnes,1.0
New Zealand,Ireland,Import Quantity,Rice,tonnes,13.0
New Zealand,Italy,Import Quantity,Rice,tonnes,324.0
New Zealand,Japan,Export Quantity,Maize,tonnes,182.0
New Zealand,Japan,Import Quantity,Rice,tonnes,44.0
New Zealand,Kiribati,Export Quantity,Maize,tonnes,0.01
New Zealand,Kiribati,Export Quantity,Rice,tonnes,0.0
New Zealand,Lao People's Democratic Republic,Import Quantity,Rice,tonnes,6.0
New Zealand,Malaysia,Import Quantity,Maize,tonnes,0.37
New Zealand,Malaysia,Import Quantity,Rice,tonnes,1.0
New Zealand,Malaysia,Export Quantity,Wheat,tonnes,950.58
New Zealand,Marshall Islands,Export Quantity,Maize,tonnes,0.14
New Zealand,Marshall Islands,Export Quantity,Rice,tonnes,0.0
New Zealand,Mexico,Import Quantity,Maize,tonnes,0.0
New Zealand,Mexico,Import Quantity,Rice,tonnes,0.0
New Zealand,Micronesia (Federated States of),Export Quantity,Rice,tonnes,0.0
New Zealand,Nauru,Export Quantity,Rice,tonnes,1.0
New Zealand,Nepal,Import Quantity,Rice,tonnes,0.0
New Zealand,Netherlands (Kingdom of the),Import Quantity,Rice,tonnes,1.0
New Zealand,New Caledonia,Export Quantity,Maize,tonnes,388.93
New Zealand,New Caledonia,Export Quantity,Rice,tonnes,3.0
New Zealand,Niue,Export Quantity,Maize,tonnes,0.23
New Zealand,Niue,Export Quantity,Rice,tonnes,11.0
New Zealand,Norway,Import Quantity,Rice,tonnes,0.0
New Zealand,Pakistan,Import Quantity,Rice,tonnes,2780.0
New Zealand,Papua New Guinea,Export Quantity,Maize,tonnes,0.59
New Zealand,Republic of Korea,Export Quantity,Maize,tonnes,227.8
New Zealand,Republic of Korea,Import Quantity,Rice,tonnes,38.0
New Zealand,Romania,Import Quantity,Maize,tonnes,73994.8
New Zealand,Samoa,Export Quantity,Maize,tonnes,0.86
New Zealand,Samoa,Export Quantity,Rice,tonnes,3.0
New Zealand,Singapore,Import Quantity,Maize,tonnes,0.02
New Zealand,Singapore,Export Quantity,Maize,tonnes,0.54
New Zealand,Singapore,Import Quantity,Rice,tonnes,0.0
New Zealand,Singapore,Export Quantity,Rice,tonnes,0.0
New Zealand,Singapore,Export Quantity,Wheat,tonnes,36.17
New Zealand,Solomon Islands,Export Quantity,Maize,tonnes,0.1
New Zealand,Solomon Islands,Export Quantity,Rice,tonnes,12.0
New Zealand,South Africa,Import Quantity,Maize,tonnes,0.56
New Zealand,South Africa,Import Quantity,Rice,tonnes,6.0
New Zealand,Spain,Import Quantity,Rice,tonnes,51.0
New Zealand,Sri Lanka,Import Quantity,Maize,tonnes,0.1
New Zealand,Sri Lanka,Import Quantity,Rice,tonnes,126.0
New Zealand,Switzerland,Import Quantity,Rice,tonnes,0.0
New Zealand,Thailand,Import Quantity,Maize,tonnes,0.01
New Zealand,Thailand,Import Quantity,Rice,tonnes,14430.0
New Zealand,Tonga,Import Quantity,Maize,tonnes,0.12
New Zealand,Tonga,Export Quantity,Maize,tonnes,0.52
New Zealand,Tonga,Export Quantity,Rice,tonnes,53.0
New Zealand,Türkiye,Import Quantity,Maize,tonnes,20.0
New Zealand,Tuvalu,Export Quantity,Rice,tonnes,8.0
New Zealand,United Arab Emirates,Import Quantity,Maize,tonnes,0.0
New Zealand,United Arab Emirates,Import Quantity,Rice,tonnes,3.0
New Zealand,United Kingdom of Great Britain and Northern Ireland,Export Quantity,Maize,tonnes,1.15
New Zealand,United Kingdom of Great Britain and Northern Ireland,Import Quantity,Rice,tonnes,0.0
New Zealand,United Kingdom of Great Britain and Northern Ireland,Export Quantity,Rice,tonnes,32.0
New Zealand,United States of America,Import Quantity,Maize,tonnes,35702.13
New Zealand,United States of America,Export Quantity,Maize,tonnes,0.17
New Zealand,United States of America,Import Quantity,Rice,tonnes,4399.0
New Zealand,United States of America,Export Quantity,Wheat,tonnes,3.03
New Zealand,Uruguay,Import Quantity,Rice,tonnes,45.0
New Zealand,Vanuatu,Export Quantity,Maize,tonnes,0.05
New Zealand,Vanuatu,Export Quantity,Rice,tonnes,4.0
New Zealand,Vanuatu,Export Quantity,Wheat,tonnes,0.03
New Zealand,Viet Nam,Import Quantity,Maize,tonnes,0.32
New Zealand,Viet Nam,Import Quantity,Rice,tonnes,10355.0
New Zealand,Viet Nam,Export Quantity,Rice,tonnes,18.0
Papua New Guinea,Australia,Import Quantity,Maize,tonnes,62.42
Papua New Guinea,Australia,Import Quantity,Rice,tonnes,7.0
Papua New Guinea,Australia,Import Quantity,Wheat,tonnes,252645.9
Papua New Guinea,Chile,Import Quantity,Maize,tonnes,36.29
Papua New Guinea,"China, Hong Kong SAR",Import Quantity,Rice,tonnes,0.0
Papua New Guinea,"China, mainland",Import Quantity,Rice,tonnes,148293.0
Papua New Guinea,"China, Taiwan Province of",Import Quantity,Rice,tonnes,49017.0
Papua New Guinea,Fiji,Export Quantity,Wheat,tonnes,1001.02
Papua New Guinea,India,Import Quantity,Rice,tonnes,53392.0
Papua New Guinea,Indonesia,Import Quantity,Rice,tonnes,0.0
Papua New Guinea,Latvia,Import Quantity,Rice,tonnes,8.0
Papua New Guinea,Malaysia,Import Quantity,Rice,tonnes,1.0
Papua New Guinea,Myanmar,Import Quantity,Rice,tonnes,3703.0
Papua New Guinea,New Zealand,Import Quantity,Maize,tonnes,0.59
Papua New Guinea,Singapore,Export Quantity,Rice,tonnes,0.0
Papua New Guinea,Sri Lanka,Import Quantity,Rice,tonnes,0.0
Papua New Guinea,Thailand,Import Quantity,Rice,tonnes,50229.0
Samoa,Antigua and Barbuda,Import Quantity,Rice,tonnes,23.0
Samoa,Australia,Import Quantity,Rice,tonnes,134.0
Samoa,"China, Hong Kong SAR",Import Quantity,Maize,tonnes,4.5
Samoa,"China, Hong Kong SAR",Import Quantity,Rice,tonnes,25346.0
Samoa,"China, mainland",Import Quantity,Rice,tonnes,4043.0
Samoa,"China, mainland",Import Quantity,Wheat,tonnes,0.23
Samoa,"China, Taiwan Province of",Import Quantity,Rice,tonnes,1318.0
Samoa,Fiji,Import Quantity,Rice,tonnes,305.0
Samoa,New Zealand,Import Quantity,Maize,tonnes,0.59
Samoa,New Zealand,Import Quantity,Rice,tonnes,218.0
Samoa,New Zealand,Export Quantity,Rice,tonnes,5238.0
Samoa,Singapore,Import Quantity,Rice,tonnes,2928.0
Samoa,Tokelau,Export Quantity,Rice,tonnes,10200.0
Samoa,United States of America,Import Quantity,Maize,tonnes,0.01
Samoa,United States of America,Import Quantity,Rice,tonnes,37.0
Samoa,Viet Nam,Import Quantity,Rice,tonnes,55.0
Solomon Islands,Australia,Import Quantity,Wheat,tonnes,13167.68
Solomon Islands,"China, mainland",Import Quantity,Rice,tonnes,8974.0
Solomon Islands,"China, Taiwan Province of",Import Quantity,Rice,tonnes,9610.0
Solomon Islands,Indonesia,Import Quantity,Maize,tonnes,40.0
Solomon Islands,New Zealand,Import Quantity,Maize,tonnes,0.1
Solomon Islands,New Zealand,Import Quantity,Rice,tonnes,11.0
Solomon Islands,Sri Lanka,Import Quantity,Rice,tonnes,0.0
Solomon Islands,Thailand,Import Quantity,Maize,tonnes,192.0
Tonga,"China, mainland",Import Quantity,Rice,tonnes,23.0
Tonga,Fiji,Import Quantity,Rice,tonnes,44.0
Tonga,India,Import Quantity,Rice,tonnes,400.0
