Reporter Countries,Partner Countries,Element,Item,Unit,Y2021
Afghanistan,Brazil,Import Quantity,Maize (corn),tonnes,2214.58
Afghanistan,Brazil,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,0.0
Afghanistan,"China, mainland",Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,1672.0
Afghanistan,Germany,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,1.0
Afghanistan,India,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,6396.0
Afghanistan,Mozambique,Export Quantity,Maize (corn),tonnes,29.25
Afghanistan,Nepal,Export Quantity,Maize (corn),tonnes,0.0
Afghanistan,Netherlands (Kingdom of the),Export Quantity,Maize (corn),tonnes,0.01
Afghanistan,Netherlands (Kingdom of the),Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,10.0
Afghanistan,Pakistan,Import Quantity,Maize (corn),tonnes,2370.75
Afghanistan,Pakistan,Export Quantity,Maize (corn),tonnes,33.0
Afghanistan,Pakistan,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,317145.0
Afghanistan,Türkiye,Import Quantity,Maize (corn),tonnes,0.13
Afghanistan,Türkiye,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,12.0
Afghanistan,United Arab Emirates,Import Quantity,Maize (corn),tonnes,0.38
Afghanistan,United Arab Emirates,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,72.0
Afghanistan,Uzbekistan,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,121.0
Albania,Austria,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,0.0
Albania,Bulgaria,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,1564.0
Albania,"China, Hong Kong SAR",Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,0.0
Albania,Croatia,Import Quantity,Maize (corn),tonnes,47.4
Albania,Croatia,Import Quantity,Wheat,tonnes,312.0
Albania,Egypt,Import Quantity,Maize (corn),tonnes,409.18
Albania,France,Import Quantity,Maize (corn),tonnes,260.25
Albania,France,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,0.0
Albania,France,Import Quantity,Wheat,tonnes,2750.15
Albania,Germany,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,4.0
Albania,Germany,Export Quantity,"Rice, paddy (rice milled equivalent)",tonnes,5.0
Albania,Greece,Import Quantity,Maize (corn),tonnes,134.78
Albania,Greece,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,2090.0
Albania,Greece,Import Quantity,Wheat,tonnes,570.91
