iso3,crop_reduction_month_1,crop_reduction_month_2,crop_reduction_month_3,crop_reduction_month_4,crop_reduction_month_5,crop_reduction_month_6,crop_reduction_month_7,crop_reduction_month_8,crop_reduction_month_9,crop_reduction_month_10,crop_reduction_month_11,crop_reduction_month_12,crop_reduction_month_13,crop_reduction_month_14,crop_reduction_month_15,crop_reduction_month_16,crop_reduction_month_17,crop_reduction_month_18,crop_reduction_month_19,crop_reduction_month_20,crop_reduction_month_21,crop_reduction_month_22,crop_reduction_month_23,crop_reduction_month_24,crop_reduction_month_25,crop_reduction_month_26,crop_reduction_month_27,crop_reduction_month_28,crop_reduction_month_29,crop_reduction_month_30,crop_reduction_month_31,crop_reduction_month_32,crop_reduction_month_33,crop_reduction_month_34,crop_reduction_month_35,crop_reduction_month_36,crop_reduction_month_37,crop_reduction_month_38,crop_reduction_month_39,crop_reduction_month_40,crop_reduction_month_41,crop_reduction_month_42,crop_reduction_month_43,crop_reduction_month_44,crop_reduction_month_45,crop_reduction_month_46,crop_reduction_month_47,crop_reduction_month_48,crop_reduction_month_49,crop_reduction_month_50,crop_reduction_month_51,crop_reduction_month_52,crop_reduction_month_53,crop_reduction_month_54,crop_reduction_month_55,crop_reduction_month_56,crop_reduction_month_57,crop_reduction_month_58,crop_reduction_month_59,crop_reduction_month_60,crop_reduction_month_61,crop_reduction_month_62,crop_reduction_month_63,crop_reduction_month_64,crop_reduction_month_65,crop_reduction_month_66,crop_reduction_month_67,crop_reduction_month_68,crop_reduction_month_69,crop_reduction_month_70,crop_reduction_month_71,crop_reduction_month_72,crop_reduction_month_73,crop_reduction_month_74,crop_reduction_month_75,crop_reduction_month_76,crop_reduction_month_77,crop_reduction_month_78,crop_reduction_month_79,crop_reduction_month_80,crop_reduction_month_81,crop_reduction_month_82,crop_reduction_month_83,crop_reduction_month_84,crop_reduction_month_85,crop_reduction_month_86,crop_reduction_month_87,crop_reduction_month_88,crop_reduction_month_89,crop_reduction_month_90,crop_reduction_month_91,crop_reduction_month_92,crop_reduction_month_93,crop_reduction_month_94,crop_reduction_month_95,crop_reduction_month_96,crop_reduction_month_97,crop_reduction_month_98,crop_reduction_month_99,crop_reduction_month_100,crop_reduction_month_101,crop_reduction_month_102,crop_reduction_month_103,crop_reduction_month_104,crop_reduction_month_105,crop_reduction_month_106,crop_reduction_month_107,crop_reduction_month_108,crop_reduction_month_109,crop_reduction_month_110,crop_reduction_month_111,crop_reduction_month_112,crop_reduction_month_113,crop_reduction_month_114,crop_reduction_month_115,crop_reduction_month_116,crop_reduction_month_117,crop_reduction_month_118,crop_reduction_month_119,crop_reduction_month_120
AFG,-8.277937854093633,-8.277937854093633,-8.277937854093633,-8.277937854093633,-8.277937854093633,-8.277937854093633,-8.277937854093633,-8.277937854093633,-8.277937854093633,-8.277937854093633,-8.277937854093633,-8.277937854093633,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-7.510792755844457,-7.510792755844457,-7.510792755844457,-7.510792755844457,-7.510792755844457,-7.510792755844457,-7.510792755844457,-7.510792755844457,-7.510792755844457,-7.510792755844457,-7.510792755844457,-7.510792755844457,-4.6583617099832315,-4.6583617099832315,-4.6583617099832315,-4.6583617099832315,-4.6583617099832315,-4.6583617099832315,-4.6583617099832315,-4.6583617099832315,-4.6583617099832315,-4.6583617099832315,-4.6583617099832315,-4.6583617099832315,-2.535977681141699,-2.535977681141699,-2.535977681141699,-2.535977681141699,-2.535977681141699,-2.535977681141699,-2.535977681141699,-2.535977681141699,-2.535977681141699,-2.535977681141699,-2.535977681141699,-2.535977681141699,-1.9577408727990642,-1.9577408727990642,-1.9577408727990642,-1.9577408727990642,-1.9577408727990642,-1.9577408727990642,-1.9577408727990642,-1.9577408727990642,-1.9577408727990642,-1.9577408727990642,-1.9577408727990642,-1.9577408727990642,-1.79778171136798,-1.79778171136798,-1.79778171136798,-1.79778171136798,-1.79778171136798,-1.79778171136798,-1.79778171136798,-1.79778171136798,-1.79778171136798,-1.79778171136798,-1.79778171136798,-1.79778171136798,-1.0579470522670442,-1.0579470522670442,-1.0579470522670442,-1.0579470522670442,-1.0579470522670442,-1.0579470522670442,-1.0579470522670442,-1.0579470522670442,-1.0579470522670442,-1.0579470522670442,-1.0579470522670442,-1.0579470522670442,-0.11204108105784083,-0.11204108105784083,-0.11204108105784083,-0.11204108105784083,-0.11204108105784083,-0.11204108105784083,-0.11204108105784083,-0.11204108105784083,-0.11204108105784083,-0.11204108105784083,-0.11204108105784083,-0.11204108105784083
ALB,-8.248864549954277,-8.248864549954277,-8.248864549954277,-8.248864549954277,-8.248864549954277,-8.248864549954277,-8.248864549954277,-8.248864549954277,-8.248864549954277,-8.248864549954277,-8.248864549954277,-8.248864549954277,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.948155681124843,-7.025756566625561,-7.025756566625561,-7.025756566625561,-7.025756566625561,-7.025756566625561,-7.025756566625561,-7.025756566625561,-7.025756566625561,-7.025756566625561,-7.025756566625561,-7.025756566625561,-7.025756566625561,-5.528423342368149,-5.528423342368149,-5.528423342368149,-5.528423342368149,-5.528423342368149,-5.528423342368149,-5.528423342368149,-5.528423342368149,-5.528423342368149,-5.528423342368149,-5.528423342368149,-5.528423342368149,-2.7636673251913133,-2.7636673251913133,-2.7636673251913133,-2.7636673251913133,-2.7636673251913133,-2.7636673251913133,-2.7636673251913133,-2.7636673251913133,-2.7636673251913133,-2.7636673251913133,-2.7636673251913133,-2.7636673251913133,-3.0749092558712463,-3.0749092558712463,-3.0749092558712463,-3.0749092558712463,-3.0749092558712463,-3.0749092558712463,-3.0749092558712463,-3.0749092558712463,-3.0749092558712463,-3.0749092558712463,-3.0749092558712463,-3.0749092558712463,-4.403612154937563,-4.403612154937563,-4.403612154937563,-4.403612154937563,-4.403612154937563,-4.403612154937563,-4.403612154937563,-4.403612154937563,-4.403612154937563,-4.403612154937563,-4.403612154937563,-4.403612154937563,-0.9255533353976794,-0.9255533353976794,-0.9255533353976794,-0.9255533353976794,-0.9255533353976794,-0.9255533353976794,-0.9255533353976794,-0.9255533353976794,-0.9255533353976794,-0.9255533353976794,-0.9255533353976794,-0.9255533353976794,-4.154832316816335,-4.154832316816335,-4.154832316816335,-4.154832316816335,-4.154832316816335,-4.154832316816335,-4.154832316816335,-4.154832316816335,-4.154832316816335,-4.154832316816335,-4.154832316816335,-4.154832316816335
DZA,-5.1108518009054995,-5.1108518009054995,-5.1108518009054995,-5.1108518009054995,-5.1108518009054995,-5.1108518009054995,-5.1108518009054995,-5.1108518009054995,-5.1108518009054995,-5.1108518009054995,-5.1108518009054995,-5.1108518009054995,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,1.0010382373426434,5.622426481522097,5.622426481522097,5.622426481522097,5.622426481522097,5.622426481522097,5.622426481522097,5.622426481522097,5.622426481522097,5.622426481522097,5.622426481522097,5.622426481522097,5.622426481522097,12.704228663716131,12.704228663716131,12.704228663716131,12.704228663716131,12.704228663716131,12.704228663716131,12.704228663716131,12.704228663716131,12.704228663716131,12.704228663716131,12.704228663716131,12.704228663716131,21.448932879240825,21.448932879240825,21.448932879240825,21.448932879240825,21.448932879240825,21.448932879240825,21.448932879240825,21.448932879240825,21.448932879240825,21.448932879240825,21.448932879240825,21.448932879240825,12.867820939737669,12.867820939737669,12.867820939737669,12.867820939737669,12.867820939737669,12.867820939737669,12.867820939737669,12.867820939737669,12.867820939737669,12.867820939737669,12.867820939737669,12.867820939737669,4.506801415501271,4.506801415501271,4.506801415501271,4.506801415501271,4.506801415501271,4.506801415501271,4.506801415501271,4.506801415501271,4.506801415501271,4.506801415501271,4.506801415501271,4.506801415501271,-0.6298266324656042,-0.6298266324656042,-0.6298266324656042,-0.6298266324656042,-0.6298266324656042,-0.6298266324656042,-0.6298266324656042,-0.6298266324656042,-0.6298266324656042,-0.6298266324656042,-0.6298266324656042,-0.6298266324656042,-2.4429347147383123,-2.4429347147383123,-2.4429347147383123,-2.4429347147383123,-2.4429347147383123,-2.4429347147383123,-2.4429347147383123,-2.4429347147383123,-2.4429347147383123,-2.4429347147383123,-2.4429347147383123,-2.4429347147383123
AGO,-0.7019515424199742,-0.7019515424199742,-0.7019515424199742,-0.7019515424199742,-0.7019515424199742,-0.7019515424199742,-0.7019515424199742,-0.7019515424199742,-0.7019515424199742,-0.7019515424199742,-0.7019515424199742,-0.7019515424199742,-5.830255543633393,-5.830255543633393,-5.830255543633393,-5.830255543633393,-5.830255543633393,-5.830255543633393,-5.830255543633393,-5.830255543633393,-5.830255543633393,-5.830255543633393,-5.830255543633393,-5.830255543633393,-8.040952396488459,-8.040952396488459,-8.040952396488459,-8.040952396488459,-8.040952396488459,-8.040952396488459,-8.040952396488459,-8.040952396488459,-8.040952396488459,-8.040952396488459,-8.040952396488459,-8.040952396488459,-8.18891954878193,-8.18891954878193,-8.18891954878193,-8.18891954878193,-8.18891954878193,-8.18891954878193,-8.18891954878193,-8.18891954878193,-8.18891954878193,-8.18891954878193,-8.18891954878193,-8.18891954878193,-8.20815831352456,-8.20815831352456,-8.20815831352456,-8.20815831352456,-8.20815831352456,-8.20815831352456,-8.20815831352456,-8.20815831352456,-8.20815831352456,-8.20815831352456,-8.20815831352456,-8.20815831352456,-7.858299446249053,-7.858299446249053,-7.858299446249053,-7.858299446249053,-7.858299446249053,-7.858299446249053,-7.858299446249053,-7.858299446249053,-7.858299446249053,-7.858299446249053,-7.858299446249053,-7.858299446249053,-7.006899354006049,-7.006899354006049,-7.006899354006049,-7.006899354006049,-7.006899354006049,-7.006899354006049,-7.006899354006049,-7.006899354006049,-7.006899354006049,-7.006899354006049,-7.006899354006049,-7.006899354006049,-5.961973300684021,-5.961973300684021,-5.961973300684021,-5.961973300684021,-5.961973300684021,-5.961973300684021,-5.961973300684021,-5.961973300684021,-5.961973300684021,-5.961973300684021,-5.961973300684021,-5.961973300684021,-4.476573470890711,-4.476573470890711,-4.476573470890711,-4.476573470890711,-4.476573470890711,-4.476573470890711,-4.476573470890711,-4.476573470890711,-4.476573470890711,-4.476573470890711,-4.476573470890711,-4.476573470890711,-3.6297272604422255,-3.6297272604422255,-3.6297272604422255,-3.6297272604422255,-3.6297272604422255,-3.6297272604422255,-3.6297272604422255,-3.6297272604422255,-3.6297272604422255,-3.6297272604422255,-3.6297272604422255,-3.6297272604422255
ARG,-0.528193897525071,-0.528193897525071,-0.528193897525071,-0.528193897525071,-0.528193897525071,-0.528193897525071,-0.528193897525071,-0.528193897525071,-0.528193897525071,-0.528193897525071,-0.528193897525071,-0.528193897525071,-6.454824556142106,-6.454824556142106,-6.454824556142106,-6.454824556142106,-6.454824556142106,-6.454824556142106,-6.454824556142106,-6.454824556142106,-6.454824556142106,-6.454824556142106,-6.454824556142106,-6.454824556142106,-6.912432923186109,-6.912432923186109,-6.912432923186109,-6.912432923186109,-6.912432923186109,-6.912432923186109,-6.912432923186109,-6.912432923186109,-6.912432923186109,-6.912432923186109,-6.912432923186109,-6.912432923186109,-7.066266094370669,-7.066266094370669,-7.066266094370669,-7.066266094370669,-7.066266094370669,-7.066266094370669,-7.066266094370669,-7.066266094370669,-7.066266094370669,-7.066266094370669,-7.066266094370669,-7.066266094370669,-6.568588930541132,-6.568588930541132,-6.568588930541132,-6.568588930541132,-6.568588930541132,-6.568588930541132,-6.568588930541132,-6.568588930541132,-6.568588930541132,-6.568588930541132,-6.568588930541132,-6.568588930541132,-6.792455426803998,-6.792455426803998,-6.792455426803998,-6.792455426803998,-6.792455426803998,-6.792455426803998,-6.792455426803998,-6.792455426803998,-6.792455426803998,-6.792455426803998,-6.792455426803998,-6.792455426803998,-5.720300869943202,-5.720300869943202,-5.720300869943202,-5.720300869943202,-5.720300869943202,-5.720300869943202,-5.720300869943202,-5.720300869943202,-5.720300869943202,-5.720300869943202,-5.720300869943202,-5.720300869943202,-4.866803254133347,-4.866803254133347,-4.866803254133347,-4.866803254133347,-4.866803254133347,-4.866803254133347,-4.866803254133347,-4.866803254133347,-4.866803254133347,-4.866803254133347,-4.866803254133347,-4.866803254133347,-2.8423887430379327,-2.8423887430379327,-2.8423887430379327,-2.8423887430379327,-2.8423887430379327,-2.8423887430379327,-2.8423887430379327,-2.8423887430379327,-2.8423887430379327,-2.8423887430379327,-2.8423887430379327,-2.8423887430379327,-0.6291384535495533,-0.6291384535495533,-0.6291384535495533,-0.6291384535495533,-0.6291384535495533,-0.6291384535495533,-0.6291384535495533,-0.6291384535495533,-0.6291384535495533,-0.6291384535495533,-0.6291384535495533,-0.6291384535495533
ARM,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.331209390940908,-8.331209390940908,-8.331209390940908,-8.331209390940908,-8.331209390940908,-8.331209390940908,-8.331209390940908,-8.331209390940908,-8.331209390940908,-8.331209390940908,-8.331209390940908,-8.331209390940908,-8.176703967469868,-8.176703967469868,-8.176703967469868,-8.176703967469868,-8.176703967469868,-8.176703967469868,-8.176703967469868,-8.176703967469868,-8.176703967469868,-8.176703967469868,-8.176703967469868,-8.176703967469868,-1.7882579327440185,-1.7882579327440185,-1.7882579327440185,-1.7882579327440185,-1.7882579327440185,-1.7882579327440185,-1.7882579327440185,-1.7882579327440185,-1.7882579327440185,-1.7882579327440185,-1.7882579327440185,-1.7882579327440185,-2.0102010130557617,-2.0102010130557617,-2.0102010130557617,-2.0102010130557617,-2.0102010130557617,-2.0102010130557617,-2.0102010130557617,-2.0102010130557617,-2.0102010130557617,-2.0102010130557617,-2.0102010130557617,-2.0102010130557617,-1.987692185552566,-1.987692185552566,-1.987692185552566,-1.987692185552566,-1.987692185552566,-1.987692185552566,-1.987692185552566,-1.987692185552566,-1.987692185552566,-1.987692185552566,-1.987692185552566,-1.987692185552566,-1.676554901347813,-1.676554901347813,-1.676554901347813,-1.676554901347813,-1.676554901347813,-1.676554901347813,-1.676554901347813,-1.676554901347813,-1.676554901347813,-1.676554901347813,-1.676554901347813,-1.676554901347813,-1.0681763644830167,-1.0681763644830167,-1.0681763644830167,-1.0681763644830167,-1.0681763644830167,-1.0681763644830167,-1.0681763644830167,-1.0681763644830167,-1.0681763644830167,-1.0681763644830167,-1.0681763644830167,-1.0681763644830167
AUS,2.04980853631684,2.04980853631684,2.04980853631684,2.04980853631684,2.04980853631684,2.04980853631684,2.04980853631684,2.04980853631684,2.04980853631684,2.04980853631684,2.04980853631684,2.04980853631684,-0.24106546874512083,-0.24106546874512083,-0.24106546874512083,-0.24106546874512083,-0.24106546874512083,-0.24106546874512083,-0.24106546874512083,-0.24106546874512083,-0.24106546874512083,-0.24106546874512083,-0.24106546874512083,-0.24106546874512083,-0.21531653144167998,-0.21531653144167998,-0.21531653144167998,-0.21531653144167998,-0.21531653144167998,-0.21531653144167998,-0.21531653144167998,-0.21531653144167998,-0.21531653144167998,-0.21531653144167998,-0.21531653144167998,-0.21531653144167998,-2.34195678638303,-2.34195678638303,-2.34195678638303,-2.34195678638303,-2.34195678638303,-2.34195678638303,-2.34195678638303,-2.34195678638303,-2.34195678638303,-2.34195678638303,-2.34195678638303,-2.34195678638303,-3.3345598648243464,-3.3345598648243464,-3.3345598648243464,-3.3345598648243464,-3.3345598648243464,-3.3345598648243464,-3.3345598648243464,-3.3345598648243464,-3.3345598648243464,-3.3345598648243464,-3.3345598648243464,-3.3345598648243464,-2.8412627115692337,-2.8412627115692337,-2.8412627115692337,-2.8412627115692337,-2.8412627115692337,-2.8412627115692337,-2.8412627115692337,-2.8412627115692337,-2.8412627115692337,-2.8412627115692337,-2.8412627115692337,-2.8412627115692337,-2.2553964158116755,-2.2553964158116755,-2.2553964158116755,-2.2553964158116755,-2.2553964158116755,-2.2553964158116755,-2.2553964158116755,-2.2553964158116755,-2.2553964158116755,-2.2553964158116755,-2.2553964158116755,-2.2553964158116755,-3.5052614304764638,-3.5052614304764638,-3.5052614304764638,-3.5052614304764638,-3.5052614304764638,-3.5052614304764638,-3.5052614304764638,-3.5052614304764638,-3.5052614304764638,-3.5052614304764638,-3.5052614304764638,-3.5052614304764638,0.31152297183418,0.31152297183418,0.31152297183418,0.31152297183418,0.31152297183418,0.31152297183418,0.31152297183418,0.31152297183418,0.31152297183418,0.31152297183418,0.31152297183418,0.31152297183418,-1.1354537330332208,-1.1354537330332208,-1.1354537330332208,-1.1354537330332208,-1.1354537330332208,-1.1354537330332208,-1.1354537330332208,-1.1354537330332208,-1.1354537330332208,-1.1354537330332208,-1.1354537330332208,-1.1354537330332208
AZE,-8.33332169865995,-8.33332169865995,-8.33332169865995,-8.33332169865995,-8.33332169865995,-8.33332169865995,-8.33332169865995,-8.33332169865995,-8.33332169865995,-8.33332169865995,-8.33332169865995,-8.33332169865995,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.295265137378072,-8.295265137378072,-8.295265137378072,-8.295265137378072,-8.295265137378072,-8.295265137378072,-8.295265137378072,-8.295265137378072,-8.295265137378072,-8.295265137378072,-8.295265137378072,-8.295265137378072,-7.606606316067343,-7.606606316067343,-7.606606316067343,-7.606606316067343,-7.606606316067343,-7.606606316067343,-7.606606316067343,-7.606606316067343,-7.606606316067343,-7.606606316067343,-7.606606316067343,-7.606606316067343,-3.8409002789158393,-3.8409002789158393,-3.8409002789158393,-3.8409002789158393,-3.8409002789158393,-3.8409002789158393,-3.8409002789158393,-3.8409002789158393,-3.8409002789158393,-3.8409002789158393,-3.8409002789158393,-3.8409002789158393,-2.064467234223669,-2.064467234223669,-2.064467234223669,-2.064467234223669,-2.064467234223669,-2.064467234223669,-2.064467234223669,-2.064467234223669,-2.064467234223669,-2.064467234223669,-2.064467234223669,-2.064467234223669,-1.6129516661309935,-1.6129516661309935,-1.6129516661309935,-1.6129516661309935,-1.6129516661309935,-1.6129516661309935,-1.6129516661309935,-1.6129516661309935,-1.6129516661309935,-1.6129516661309935,-1.6129516661309935,-1.6129516661309935,-1.2160413162523585,-1.2160413162523585,-1.2160413162523585,-1.2160413162523585,-1.2160413162523585,-1.2160413162523585,-1.2160413162523585,-1.2160413162523585,-1.2160413162523585,-1.2160413162523585,-1.2160413162523585,-1.2160413162523585,-0.08387967948020751,-0.08387967948020751,-0.08387967948020751,-0.08387967948020751,-0.08387967948020751,-0.08387967948020751,-0.08387967948020751,-0.08387967948020751,-0.08387967948020751,-0.08387967948020751,-0.08387967948020751,-0.08387967948020751
BHR,48.69324508333333,48.69324508333333,48.69324508333333,48.69324508333333,48.69324508333333,48.69324508333333,48.69324508333333,48.69324508333333,48.69324508333333,48.69324508333333,48.69324508333333,48.69324508333333,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,2.5702268677017335,2.5702268677017335,2.5702268677017335,2.5702268677017335,2.5702268677017335,2.5702268677017335,2.5702268677017335,2.5702268677017335,2.5702268677017335,2.5702268677017335,2.5702268677017335,2.5702268677017335,2.5702268675,2.5702268675,2.5702268675,2.5702268675,2.5702268675,2.5702268675,2.5702268675,2.5702268675,2.5702268675,2.5702268675,2.5702268675,2.5702268675,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334
BGD,-1.0952560259587918,-1.0952560259587918,-1.0952560259587918,-1.0952560259587918,-1.0952560259587918,-1.0952560259587918,-1.0952560259587918,-1.0952560259587918,-1.0952560259587918,-1.0952560259587918,-1.0952560259587918,-1.0952560259587918,-8.215615323533823,-8.215615323533823,-8.215615323533823,-8.215615323533823,-8.215615323533823,-8.215615323533823,-8.215615323533823,-8.215615323533823,-8.215615323533823,-8.215615323533823,-8.215615323533823,-8.215615323533823,-7.425767331436287,-7.425767331436287,-7.425767331436287,-7.425767331436287,-7.425767331436287,-7.425767331436287,-7.425767331436287,-7.425767331436287,-7.425767331436287,-7.425767331436287,-7.425767331436287,-7.425767331436287,-5.03789179340502,-5.03789179340502,-5.03789179340502,-5.03789179340502,-5.03789179340502,-5.03789179340502,-5.03789179340502,-5.03789179340502,-5.03789179340502,-5.03789179340502,-5.03789179340502,-5.03789179340502,-4.186483210310605,-4.186483210310605,-4.186483210310605,-4.186483210310605,-4.186483210310605,-4.186483210310605,-4.186483210310605,-4.186483210310605,-4.186483210310605,-4.186483210310605,-4.186483210310605,-4.186483210310605,-6.255266943016653,-6.255266943016653,-6.255266943016653,-6.255266943016653,-6.255266943016653,-6.255266943016653,-6.255266943016653,-6.255266943016653,-6.255266943016653,-6.255266943016653,-6.255266943016653,-6.255266943016653,-6.790454553017725,-6.790454553017725,-6.790454553017725,-6.790454553017725,-6.790454553017725,-6.790454553017725,-6.790454553017725,-6.790454553017725,-6.790454553017725,-6.790454553017725,-6.790454553017725,-6.790454553017725,-5.9353324642583365,-5.9353324642583365,-5.9353324642583365,-5.9353324642583365,-5.9353324642583365,-5.9353324642583365,-5.9353324642583365,-5.9353324642583365,-5.9353324642583365,-5.9353324642583365,-5.9353324642583365,-5.9353324642583365,-1.0793648013917883,-1.0793648013917883,-1.0793648013917883,-1.0793648013917883,-1.0793648013917883,-1.0793648013917883,-1.0793648013917883,-1.0793648013917883,-1.0793648013917883,-1.0793648013917883,-1.0793648013917883,-1.0793648013917883,0.4131999546654525,0.4131999546654525,0.4131999546654525,0.4131999546654525,0.4131999546654525,0.4131999546654525,0.4131999546654525,0.4131999546654525,0.4131999546654525,0.4131999546654525,0.4131999546654525,0.4131999546654525
