iso3,crop_reduction_year_1,crop_reduction_year_2,crop_reduction_year_3,crop_reduction_year_4,crop_reduction_year_5,crop_reduction_year_6,crop_reduction_year_7,crop_reduction_year_8,crop_reduction_year_9,crop_reduction_year_10
AFG,-99.3352542491236,-100.0,-100.0,-90.12951307013348,-55.90034051979879,-30.43173217370039,-23.49289047358877,-21.57338053641576,-12.69536462720453,-1.3444929726940895
ALB,-98.98637459945132,-95.37786817349811,-95.37786817349811,-84.30907879950674,-66.34108010841778,-33.16400790229576,-36.89891107045496,-52.84334585925076,-11.106640024772153,-49.857987801796014
DZA,-61.330221610866005,12.01245884811172,12.01245884811172,67.46911777826516,152.45074396459358,257.3871945508899,154.413851276852,54.08161698601525,-7.55791958958725,-29.315216576859747
AGO,-8.42341850903969,-69.96306652360072,-96.49142875786151,-98.26703458538316,-98.49789976229472,-94.29959335498864,-84.0827922480726,-71.54367960820825,-53.71888165068853,-43.55672712530671
ARG,-6.338326770300851,-77.45789467370527,-82.9491950782333,-84.79519313244803,-78.82306716649359,-81.50946512164798,-68.64361043931842,-58.40163904960016,-34.10866491645519,-7.54966144259464
ARM,-100.0,-100.0,-100.0,-99.9745126912909,-98.1204476096384,-21.45909519292822,-24.122412156669142,-23.85230622663079,-20.11865881617376,-12.818116373796204
AUS,24.59770243580208,-2.8927856249414496,-2.583798377300159,-28.10348143659636,-40.01471837789216,-34.0951525388308,-27.064756989740104,-42.06313716571757,3.73827566201016,-13.62544479639865
AZE,-99.99986038391938,-100.0,-100.0,-99.54318164853686,-91.27927579280812,-46.09080334699007,-24.77360681068403,-19.35541999357192,-14.592495795028302,-1.00655615376249
BHR,584.318941,-100.0,-100.0,30.8427224124208,30.84272241,-100.0,-100.0,-100.0,-100.0,-100.0
BGD,-13.143072311505502,-98.58738388240587,-89.10920797723544,-60.45470152086024,-50.237798523727264,-75.06320331619983,-81.48545463621271,-71.22398957110003,-12.952377616701462,4.95839945598543
BRB,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
BLR,-100.0,-100.0,-100.0,-100.0,-100.0,-99.6478241054501,-81.88331514739247,-52.70820929876368,-51.554956677856666,-85.57729472144148
BEN,-25.578892702755347,-68.78672385341399,-76.14969631170541,-77.11459791256922,-69.16668100470952,-65.82497009400514,-47.1013664328092,-28.238053739239284,-21.84064599107001,-4.87801887377125
BTN,-55.75162459264301,-99.5349254416934,-99.29748205574386,-97.68991251486914,-97.25847983996388,-97.34920867603776,-97.76061117799712,-97.2898430602261,-89.37749795406056,-77.97019505730876
BOL,-5.16675532781614,-76.12360570899543,-94.2948479456764,-88.17760180443702,-60.08458688901754,-83.82371978768487,-76.21214218494633,-64.91080346960258,-54.66840593152923,-34.96664354069132
BIH,-100.0,-99.67652943650774,-99.67652943650774,-97.20333642968822,-89.94313691547768,-69.53535026350731,-56.48579113800743,-60.23053645141273,-43.58736247710152,-83.61129853051297
BWA,-17.25784314217441,-77.72683090380447,-98.67108504365495,-93.78233115059273,-98.6624108996902,-77.39927204170787,-58.55419020192395,-45.09324243995591,-18.913034826476466,-9.85772105402214
BRA,-6.4447106335042506,-68.44731828555126,-86.59908877081438,-84.99898694140515,-85.20703496417606,-79.0548572036421,-71.17007104668156,-55.431968411212665,-40.90541386621745,-20.96014460508108
BRN,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
BFA,-26.57748642584149,-71.909789634557,-79.02911624047842,-73.05290307642977,-72.8962768538389,-43.3461960387194,-21.076893888932133,-9.975704746976689,2.24736700959369,0.4616797782796091
MMR,-45.247684020465925,-99.89233805287932,-99.92156271503008,-99.32437134014704,-92.09877572518296,-97.82096411742104,-93.9660737140772,-87.81422402580128,-64.41620122283554,-41.87032384856722
BDI,-10.23409121779503,-73.25716869240951,-68.93728395200189,-74.4620670105197,-100.0,-52.70774874606112,-58.66699384654838,-77.9444009321582,-62.06287636331861,-58.90676290921577
CPV,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
KHM,52.04811253073592,-96.8157327289437,-99.5086826232528,-96.93361327521365,-94.00347188144056,-65.74070170341884,-44.798277053431526,21.4713023622425,56.01012357596586,6.7138734762141
CMR,-42.9487970288346,-90.81003512767192,-93.35183581846114,-89.99716643595752,-81.91748709140099,-79.93113587582125,-64.96156622604073,-44.22185790711962,-31.41161344033865,0.20440033371222
CAN,-100.0,-100.0,-100.0,-100.0,-99.96895053941051,-98.9338608088754,-81.8934966404037,-81.14859451734175,-76.40771866366148,-49.03867406314913
CAF,-28.30301051866348,-90.21618998302876,-93.44884290390992,-98.79136763453934,-98.23570434287844,-88.61219192590784,-71.7449360045596,-54.70465310501408,-40.75232871362263,-12.36923141863404
TCD,-23.685580746408,-68.27517527566523,-75.7783545207957,-83.37691137811679,-74.3888270979137,-64.69973765745159,-38.8083337813656,-8.19959742251138,4.93236647369206,24.33202834113048
CHL,-39.77883251473817,-62.38394719539978,-58.08855705615808,-64.16613056761571,-61.3491281653768,-45.492372644851066,-40.57483051932072,-41.7917520108874,-9.79367273772311,23.10208643429873
CHN,-97.5076313598488,-99.71669716737848,-99.70414336333867,-98.9900071205584,-96.1537116961417,-93.1499845812767,-89.91230672714876,-82.59776603421918,-61.2520154943911,-33.96468446777395
COL,-24.607081189532234,-84.7724239404593,-93.44525668111874,-92.171969288074,-89.8956223784084,-79.7153709755629,-72.35211795197459,-53.954791846355846,-35.3852488207961,-10.76921485208297
COD,-8.91062798318832,-78.58377019934962,-96.551563775879,-93.97543928695848,-99.2591082780062,-87.59583182222855,-80.05254038338049,-64.68285678918217,-48.82788579553743,-31.352577956736624
COG,-5.241709942030569,-79.88318452454641,-92.31436394063192,-92.90923799244308,-96.47278822271286,-81.64816110615948,-72.4307087499765,-50.3045591798857,-41.53010091935031,-18.96814374973782
CRI,109.0193228302996,95.24084214039044,111.70028655980607,21.60631319585588,80.57457957461752,47.354698859362,319.8788956586231,198.6672536362492,106.36568000613528,-30.08211088636812
CIV,-31.673020319369197,-91.6695826751968,-93.18415685361389,-93.63149743851352,-83.11193740020192,-84.79114727644011,-69.28955066777735,-54.24246910283384,-44.32839703863915,-19.52160206342957
CUB,-31.411284988436663,-69.27150593973177,-84.93417575421363,-79.1762294861134,-78.3786482054482,-62.33682585035065,-30.44797410519874,-6.72911548412901,16.89058892746657,13.960183025970789
DJI,-87.14366949304141,-92.83961092160771,-77.16251046788541,-70.31843961695989,67.89901150390699,-91.78771885128894,-59.04341187067561,-69.95340122152126,-65.94093722731441,-30.420795445600348
DOM,17.058790506356917,-29.76006617188921,-59.91998412159174,-80.72623055784945,-58.37311000932623,-39.6776244052203,-14.235491825289452,26.254898464443947,-6.25837017822966,6.14302154539943
ECU,-4.685881481333979,-75.55744438862665,-96.62666325303266,-98.67815718201746,-85.25147021452493,-86.27798033362338,-72.57244241729221,-56.23817369758825,-35.79764406986854,-21.37250619161418
EGY,-71.53272499854613,-74.5879647247151,-74.48702851369698,-67.40725350704078,-62.11989382169904,-35.51182159253079,-16.69078690113157,-8.05550587056274,-3.47694225146458,-3.16751998815606
SLV,-33.95709802237152,-81.84239213874194,-85.94017865176363,-80.83244414838819,-79.22338494119538,-46.65661320456256,6.42970608451984,18.03133942370618,49.6856091645503,45.42482927743924
ERI,-11.64911164198463,-55.01622951149066,-58.36686084934357,-60.88678856062727,-46.61350426898967,-49.26931938574904,-24.822059242404144,6.49952194571322,1.596846275540179,8.05308811509213
SWT,-5.484314769225609,-64.01045499672132,-69.68728381854307,-82.47462621169952,-71.34971685678977,-73.71804172580458,-54.318086338813885,-25.242625693735647,-33.02870465184197,-21.8913442259734
ETH,-62.02788049993869,-85.85142104344484,-88.0064085873057,-86.1030020982169,-76.47196146663819,-84.65010015841779,-71.60790937873946,-62.44078632488954,-50.474351282832686,-15.97886241272786
FJI,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
GAB,-5.178287318451379,-75.64191830451448,-90.33026572495386,-91.56569502583824,-93.01588714479163,-78.84205394050772,-69.01816123804025,-53.29160419927103,-39.03970751931353,-15.82357352159532
GMB,-39.98619798828537,382.3558228742794,162.77324712940614,6.701593397580501,-35.541531850183,61.38936953877595,-36.86775387473889,-47.73934691912088,-38.504089850504926,-47.02284098411358
GEO,-100.0,-100.0,-100.0,-98.72230743518742,-99.49533063341482,-73.35796331310313,-54.94802980546116,-43.49677914511141,-39.733144285028544,-20.42471064190989
GHA,-10.79580844196174,-74.20588991226644,-77.9814172482776,-79.49035969805499,-74.52962830540213,-62.94779562251016,-38.31931047681831,-25.79585272583051,-9.50086333816572,-6.26276371734191
GTM,-17.423664545552988,-74.17990795806206,-82.68657848062526,-81.72378608853221,-68.73711250492312,-61.31651195345883,-43.51955541714206,-9.69626593249227,31.08451948530106,34.10004451524251
GIN,-9.21487706177567,-81.818770033276,-89.70958555661224,-90.60755538101766,-86.97399545333387,-70.21063810514477,-40.99291564688508,-19.38184492115116,-19.48569064906186,-6.73342242630364
GNB,7.81376139796609,-15.370030945665462,-39.00823376765363,-74.94888304503326,-63.64900197884609,-48.76475739942187,-23.66140772594409,-2.2913257468694894,35.949361930099585,24.02923634099257
GUY,31.185788731372355,-3.10458207795129,-74.83852368008834,-83.06259176483674,-66.80833643744567,-37.21337654213413,5.70004422840803,27.0621571937524,51.72869356837074,67.02267640785922
