,Area Code (ISO3),Area,Item,Value
0,AFG,Afghanistan,"Cow peas, dry",0.0666984001835527
1,DZA,Algeria,"Cow peas, dry",182.05714121747147
2,AGO,Angola,"Cow peas, dry",15.609280194844551
3,ATG,Antigua and Barbuda,"Cow peas, dry",1.489024548371657
4,ARG,Argentina,"Cow peas, dry",4.0
5,AUS,Australia,"Cow peas, dry",151.4304477485559
6,AUT,Austria,"Cow peas, dry",12.172386129957973
7,AZE,Azerbaijan,"Cow peas, dry",56.51588000177983
8,BHS,Bahamas,"Cow peas, dry",0.0170634156851449
9,BHR,Bahrain,"Cow peas, dry",75.19962258008492
10,BRB,Barbados,"Cow peas, dry",49.94914828809627
11,BLR,Belarus,"Cow peas, dry",0.049452947583188
12,BEL,Belgium,"Cow peas, dry",0.0
13,BTN,Bhutan,"Cow peas, dry",0.6399936123446957
14,BIH,Bosnia and Herzegovina,"Cow peas, dry",215.23
15,BWA,Botswana,"Cow peas, dry",299.39997573603205
16,BRN,Brunei Darussalam,"Cow peas, dry",0.2990312788732792
17,BGR,Bulgaria,"Cow peas, dry",0.2460773507222598
18,BFA,Burkina Faso,"Cow peas, dry",704464.0
19,CPV,Cabo Verde,"Cow peas, dry",165.5382116590011
20,CMR,Cameroon,"Cow peas, dry",178959.84877549508
21,CAN,Canada,"Cow peas, dry",714.8240826648184
22,CAF,Central African Republic,"Cow peas, dry",0.227492653013401
23,CHN,China,"Cow peas, dry",14968.778354180482
24,COL,Colombia,"Cow peas, dry",1568.13
25,CIV,Cote d'Ivoire,"Cow peas, dry",1.329991986408362
26,HRV,Croatia,"Cow peas, dry",0.0406112459419071
27,CUB,Cuba,"Cow peas, dry",32.85992531991988
28,CYP,Cyprus,"Cow peas, dry",152.9635019086254
29,CZE,Czechia,"Cow peas, dry",2.2693697003129567
30,COD,DR Congo,"Cow peas, dry",77921.2795784021
31,DNK,Denmark,"Cow peas, dry",3.3524003194477845
32,DOM,Dominican Republic,"Cow peas, dry",49.95
33,EGY,Egypt,"Cow peas, dry",7199.84
34,GNQ,Equatorial Guinea,"Cow peas, dry",0.1794187673239674
35,EST,Estonia,"Cow peas, dry",0.4528278276525188
36,SWZ,Eswatini,"Cow peas, dry",712.4794299361168
37,FJI,Fiji,"Cow peas, dry",0.0
38,FIN,Finland,"Cow peas, dry",8.47115327323207
39,FRA,France,"Cow peas, dry",271.9100515820624
40,GEO,Georgia,"Cow peas, dry",23.708012914262703
41,DEU,Germany,"Cow peas, dry",211.20935555646108
