iso3,country,crop_kcals,crop_fat,crop_protein,crop_kcals_year_1,crop_fat_year_1,crop_protein_year_1,crop_kcals_year_2,crop_fat_year_2,crop_protein_year_2,crop_kcals_year_3,crop_fat_year_3,crop_protein_year_3,crop_kcals_year_4,crop_fat_year_4,crop_protein_year_4,crop_kcals_year_5,crop_fat_year_5,crop_protein_year_5,crop_kcals_year_6,crop_fat_year_6,crop_protein_year_6,crop_kcals_year_7,crop_fat_year_7,crop_protein_year_7,crop_kcals_year_8,crop_fat_year_8,crop_protein_year_8,crop_kcals_year_9,crop_fat_year_9,crop_protein_year_9,crop_kcals_year_10,crop_fat_year_10,crop_protein_year_10
AFG,Afghanistan,6961369.429305859,506034.3704386267,861887.6702937539,6221439.915692562,364005.63668594894,791513.3436272695,5970911.582701567,282041.15842481895,785982.6221747063,5928550.3836377645,267992.23399445537,785799.2883199337,5937492.2991127325,271405.8479211166,785460.5938896019,5944069.144157182,282828.10681791865,782252.9243991163,6070212.799168836,315890.0959253987,790092.6194035421,6225468.270106036,332641.22316497326,809035.1329363724,6461989.433148788,386668.76743265113,826952.8356503359,6690357.783290682,446505.7310506651,841697.7013210225,6803705.532258559,467669.0132010399,851539.2412427921
AGO,Angola,8913102.881667735,666798.2561210209,673804.0781504867,8220632.352046741,571414.5266869328,597748.4382521099,7942346.797232125,466214.685287274,593984.7560355013,7894861.744412529,447884.9604886488,593743.0473170737,7909042.793816191,452038.4098634125,594330.0597325651,7968790.420151145,469931.7532798583,597363.1374760085,8104306.156667883,507778.5877071712,605021.9965222053,8229296.201041587,532463.4152246263,615706.3923495848,8417572.283184357,589549.348744353,624512.3402387025,8533657.410153337,628181.45134388,628737.9611364565,8624379.250908522,647431.5903839046,635604.5032722579
ALB,Albania,1309693.1222229989,120952.59318783764,142973.09091220773,930224.0566112192,72556.74052469649,103207.62686288456,923981.8329365272,71924.18711369029,102585.63319272634,922221.4884281732,71725.70292933658,102419.38168167025,924717.816266591,72444.39589395221,102489.16135438195,933911.3648844516,74373.271769309,103057.66409871569,984381.9687994844,82343.70371335415,107726.44056367266,1020487.766483218,87087.64160280336,111446.75800510796,1030378.4484167836,87848.40843389786,112874.08610164531,1139018.6899100963,100247.3652592774,124709.14389538062,1102834.5956003428,97222.67370024348,120843.23304299542
ARE,United Arab Emirates,6145135.659080757,1126137.1300475113,578108.2615766912,-4380506.451097184,-2586271.9162901547,109557.40677104138,2121699.4665775048,550306.4787757171,71833.81593118957,1923360.7537563704,561462.162259246,66181.48934925406,-2174156.498689263,-1139451.9496124666,47330.49346505121,-3443868.3348638527,-1678613.624439438,48791.74096805725,1612071.6638786013,352298.6788779167,82900.68550726579,2633813.019603156,654202.3682880242,153107.9950915519,3096762.7560891784,713722.0188184566,179584.38623457705,3103092.2496984145,445962.15473283536,266048.24283853825,4928016.908106935,1005296.1438959246,368176.4031015906
ARG,Argentina,93979974.5537812,12562676.139822222,22043432.61626724,97282734.7905962,13094967.061443465,22268214.3172993,138248887.9586905,18748114.810178783,26130557.2264948,141181599.5946958,19149700.94848013,26347792.890678264,142401273.4026569,19319377.57119045,26505131.54866218,138751136.15712538,18809953.32815801,26100724.16411233,140656733.52530333,19077284.31785771,26377072.59781682,133283534.12867156,18058125.760717057,25691981.56531045,127202047.42457458,17211122.991410196,25065345.75301929,112697745.15718992,15185123.68631179,23557779.08419441,96978773.95076808,12987214.280441452,21961220.9612702
ARM,Armenia,866312.3036599853,56038.285909522034,95995.2412510678,443098.5908251146,11475.91574984264,46464.38155197543,423200.94712278055,11016.152263350932,46315.07445014614,417578.84983794857,10934.704812538608,46289.44952910886,418928.9571083008,11021.455455201349,46379.5725856412,420516.3439424925,11209.315504289409,46509.33624731098,429682.07272710686,12567.769500209186,47417.19258138984,457748.851519503,15483.57009551228,50334.42839114273,519128.6585268035,21345.258384232755,57040.19631240407,629049.9661806002,32453.196435117745,69475.07388690366,674578.914330682,36425.32136205378,74229.36236607579
ATG,Antigua and Barbuda,5315.254636854541,524.4222045146502,176.18364994521184,4775.633055388229,256.6607281104015,111.44514201243064,3750.068184878734,176.63730963123402,101.9120585456123,3927.818195373527,151.5726146111579,98.96357819764388,3029.980337799287,161.55238592167566,99.39015210177372,3387.623136518503,188.21925637016423,102.41009975261105,3644.820508876453,239.01894022047475,105.9558277828788,6118.033128760295,277.79493330852534,117.08912200106464,5980.880105798264,325.1399843423105,128.61241140914515,5278.354069683511,339.38716752103306,140.2285273079857,4553.81214424465,335.6728108946037,152.2523616160215
AUS,Australia,21647999.992582534,1636450.5174623388,1952970.250984104,17036227.906880602,1106214.0293654895,1345429.5921995454,21421822.669177096,1461309.3010570903,1986513.530211674,21340002.57448904,1443774.5781305206,1978422.881168881,25649373.574451376,1857939.002930899,2580437.800469667,27704409.57631128,2069254.3066859532,2862206.957744883,26810707.9521916,2015909.2712850685,2724077.189394103,25709080.71766372,1925429.257061805,2563065.4012526204,28319635.56193109,2193304.1896759328,2919857.153114265,20751244.208849754,1507585.5579718545,1845322.3505672745,23761723.676083952,1805507.9040897293,2261963.965505235
AUT,Austria,8924316.381419027,933983.200576678,981946.577777098,7309743.052576787,674591.0038955901,788676.8552729988,7223754.545407759,643256.4985248081,785276.9742433645,7205019.943039114,636092.7725013546,784581.9999534603,7213043.077619669,637764.2349900526,785746.8670630202,7308329.348915483,653464.1386688073,795855.263279585,7719216.264383101,715328.3549717094,847086.8219274905,8007704.96194939,763400.2018867689,877364.2200962442,8022748.051587245,775014.7186061206,873867.8181020139,8218895.430031295,816007.8350855188,899520.9143595222,7879818.521306809,773866.0612994584,856069.0874886105
AZE,Azerbaijan,5044008.977504551,330427.74981777807,637719.3643765441,3687438.3043564367,241123.248607551,453493.06936136703,3683591.393526461,240664.2238245117,452534.38538948016,3682413.7284658095,240558.0311764027,451909.3049896493,3686344.1151795792,241235.3891293527,452159.82292213023,3688187.839009936,242084.61333180344,452767.7770613337,3690209.158606268,241074.31699061743,455379.62266425486,3756464.965307648,244283.98660942103,465518.8409865654,3943311.941748963,256336.71336807348,490768.7948499201,4294753.601692403,279813.0874248263,537902.1574757047,4420483.316498019,287785.70115222246,555196.2421133007
