iso3,crop_reduction_year1
AFG,-99.3352542491236
ALB,-98.98637459945132
DZA,-61.33022161086599
AGO,-8.42341850903969
ARG,-6.338326770300851
ARM,-100.0
AUS,24.59770243580208
AZE,-99.99986038391938
BHR,584.318941
BGD,-13.143072311505499
BRB,-100.0
BLR,-100.0
BEN,-25.57889270275535
BTN,-55.75162459264301
BOL,-5.16675532781614
BIH,-100.0
BWA,-17.25784314217441
BRA,-6.44471063350425
BRN,-100.0
BFA,-26.57748642584149
MMR,-45.247684020465925
BDI,-10.23409121779503
CPV,-100.0
KHM,52.04811253073592
CMR,-42.9487970288346
CAN,-100.0
CAF,-28.30301051866348
TCD,-23.685580746408
CHL,-39.77883251473817
CHN,-97.5076313598488
COL,-24.60708118953224
COD,-8.91062798318832
COG,-5.24170994203057
CRI,109.01932283029964
CIV,-31.6730203193692
CUB,-31.411284988436663
DJI,-87.14366949304141
DOM,17.058790506356917
ECU,-4.68588148133398
EGY,-71.53272499854613
SLV,-33.95709802237152
ERI,-11.64911164198463
SWT,-5.48431476922561
ETH,-62.02788049993869
FJI,-100.0
GAB,-5.17828731845138
GMB,-39.98619798828537
GEO,-100.0
GHA,-10.795808441961741
GTM,-17.423664545552988
GIN,-9.21487706177567
GNB,7.81376139796609
GUY,31.18578873137236
HTI,62.77420911843844
HND,-10.75747624417071
IND,-26.247147007570483
IDN,-9.535973277246999
IRN,-96.85331740957668
IRQ,-98.81587172717371
ISR,-90.51511267544431
JAM,45.07125221999999
JPN,-99.33568123179381
JOR,-96.97386928216557
KAZ,-100.0
KEN,-24.95680140169683
KOR,-98.79701259446676
PRK,-99.97210030165517
KWT,-73.16302368086605
KGZ,-100.0
LAO,-44.88582934387474
LBN,-88.70846747076705
LSO,-3.3106752093250904
LBR,-4.293124451972901
LBY,35.8
MDG,17.56830532071337
MWI,6.92304912952323
MYS,-24.20998301676473
MLI,-23.87731462222381
MRT,-3.01449251428084
MUS,-100.0
MEX,-88.06239234952479
MDA,-100.0
MNG,-100.0
MAR,-83.64568382596535
MOZ,2.25870841974444
NAM,-22.65700322888604
NPL,-79.43702730688187
NZL,-41.82213234140813
NIC,-17.19658130347784
NER,-28.87272813002262
NGA,-33.87724069282335
MKD,-99.56517969221595
NOR,-100.0
OMN,557.833008698129
PAK,-71.96890066552001
PAN,113.82610112361932
PNG,-100.0
PRY,8.13165855501571
PER,-6.50024045457638
PHL,-2.71302047389252
QAT,506.4630655000001
RUS,-100.0
RWA,-20.024975509855437
SAU,-42.27878194764756
SEN,-4.24499145014269
SRB,-100.0
SLE,-2.86467131333368
SGP,-19.58036486107596
SOM,-10.2909191993724
ZAF,-4.46746952127609
SSD,-46.08994173736475
LKA,11.83358840839603
SDN,-26.92577988554624
SUR,34.65024966433325
CHE,-100.0
SYR,-95.60944933940993
TWN,-97.5076313598488
TJK,-99.99403943297037
TZA,1.71802959557311
THA,6.06210713065628
TGO,-20.97564019870034
TTO,-100.0
TUN,-64.8
TUR,-99.117758542793
TKM,-99.66437990482524
UGA,-30.6110465430194
UKR,-100.0
ARE,873.972313236211
USA,-99.5116431523868
URY,-15.40608344933795
UZB,-99.78175216428558
VEN,-26.50619688933615
VNM,-43.49836805977152
YEM,-39.13097935934825
ZMB,-1.6318855924328
ZWE,3.78815747686941
AUT,-100.0
BEL,-100.0
BGR,-99.97190930667492
HRV,-99.96842725537256
CYP,-67.1
CZE,-100.0
DNK,-100.0
EST,-100.0
FIN,-100.0
FRA,-99.92711698271728
DEU,-100.0
GRC,-95.97262996645078
HUN,-100.0
IRL,-100.0
ITA,-98.11482998431555
LVA,-100.0
LTU,-100.0
LUX,-100.0
MLT,-100.0
NLD,-100.0
POL,-100.0
PRT,-95.96787377918946
ROU,-100.0
SVK,-100.0
SVN,-100.0
ESP,-95.9699755814148
SWE,-100.0
GBR,-100.0
