,Maize,Wheat,Rice,Soya beans
1993,-1.2270705710998793,-1.1405416371040944,-1.3794238251074915,-1.0009383369712586
1994,-1.276133569141262,-1.2010538538922,-1.5906881657868226,-1.0012313074977763
1995,-1.1078348963301754,-1.2287886728552284,-1.6435732117948496,-1.001141202604142
1996,-1.1601232499120748,-1.150434669211969,-1.6161101401383724,-1.0007449423514745
1997,-1.2071350914385963,-1.1306202292597094,-1.513639906755409,-1.001442718601332
1998,-1.2505060435784467,-1.1527838565570268,-1.6342424057531557,-1.0021190027579465
1999,-1.2162333870686048,-1.1798768127177885,-1.5282347407346977,-1.0014515087378433
2000,-1.2601355915194046,-1.1433809770929533,-1.4738454726926002,-1.0024252890264214
2001,-1.2195822690482272,-1.1425472399042034,-1.357814538607673,-1.062286647370401
2002,-1.2855404580590344,-1.1126380957416422,-1.48254504184955,-1.000464818653182
2003,-1.3123274764763926,-1.1297482248702206,-1.3868769893903545,-1.054423980820248
2004,-1.2082327782725113,-1.121669503410278,-1.409730433677745,-1.0549709672368166
2005,-1.2825145782249603,-1.131322468997922,-1.3952794564331872,-1.0553356986848286
2006,-1.2327494835990982,-1.110167206031532,-1.3332998870042254,-1.0008374801701798
2007,-1.2288042084736213,-1.11583672709378,-1.4268446345535417,-1.0007349725154122
2008,-1.2436123960233882,-1.1156543021404741,-1.322012722171313,-1.0498405145865406
2009,-1.3000378004478277,-1.1056776029847208,-1.4002551151707663,-1.0011767601817518
2010,-1.2260549232094469,-1.1249761976233,-1.4286989643549068,-1.001885076161767
2011,-1.281783448070483,-1.1072657714555432,-1.4174942772536703,-1.0031126768706184
2012,-1.1041804171114185,-1.1075572775810458,-1.41811223803153,-1.0022679515508597
2013,-1.0962795644592633,-1.126842316465823,-1.428521580282034,-1.0016684441702737
2014,-1.0931768122328995,-1.1081775471553434,-1.4237347566513847,-1.0026391787634246
2015,-1.094362432509655,-1.1036217265971766,-1.054263383384343,-1.0034442549948093
2016,-1.0764526079927843,-1.100012772629007,-1.049514994225928,-1.0040971995058479
2017,-1.084918159842742,-1.1012867471271373,-1.439722250344671,-1.0054858273766478
2018,-1.0840507489461815,-1.1098416455535196,-1.4353931161796931,-1.005243265078063
2019,-1.0919635350058825,-1.1022911939799125,-1.3929438074703258,-1.0480887357152064
2020,-1.1002062031289912,-1.1049139018718201,-1.0610947586734152,-1.005195420061199
2021,-1.0897074741731159,-1.127527600833869,-1.45323510504681,-1.0037649036365401
